GENERATION_PROJECT,build_year,gen_overnight_cost,gen_fixed_om,gen_storage_energy_overnight_cost
Diesel_GE,1995,590909,22727,.
Diesel_P&W,1995,590909,22727,.
Fueloil_MB&W,1995,590909,22727,.
Wind_Mila,2003,3019091,31755,.
PV_SonSalomo,2008,1750909,17189,.
NG_GT,2021,728182,13989,.
CCGT,2021,997273,13830,.
CCGT_CCS,2021,2206364,27945,.
Residential_PV,2021,2178788,35000,.
Commercial_PV,2021,1576970,24348,.
Utility_PV,2021,875455,17189,.
Wind_OnShore,2021,1509545,31755,.
Battery_Utility_4h,2021,1358182,33955,340455
Battery_Utility_2h,2021,852576,21314,401364
Battery_Utility_1h,2021,595000,14875,473182
Battery_Utility_30m,2021,725379,18134,813636
Enlace_MallorcaMenorca,2020,2400000,0,.
