GENERATION_PROJECT,gen_tech,gen_load_zone,gen_connect_cost_per_mw,gen_capacity_limit_mw,gen_full_load_heat_rate,gen_variable_om,gen_max_age,gen_min_build_capacity,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_is_variable,gen_is_baseload,gen_is_cogen,gen_energy_source,gen_unit_size,gen_ccs_capture_efficiency,gen_ccs_energy_load,gen_storage_efficiency,gen_storage_energy_to_power_ratio,gen_storage_max_cycles_per_year,gen_store_to_release_ratio
Diesel_GE,diesel,Menorca,0.00,76.00,10.55,0.00,30,0.00,0.05,0.00,0,0,0,diesel,.,.,.,.,.,.,.
Diesel_P&W,diesel,Menorca,0.00,148.20,10.55,0.00,30,0.00,0.05,0.00,0,0,0,diesel,.,.,.,.,.,.,.
Fueloil_MB&W,fueloil,Menorca,0.00,47.40,11.37,0.00,30,0.00,0.05,0.00,0,0,0,fueloil,.,.,.,.,.,.,.
Wind_Mila,wind,Menorca,0.00,3.20,.,0.00,20,0.80,0.00,0.00,1,0,0,wind,.,.,.,.,.,.,.
PV_SonSalomo,utility_pv,Menorca,0.00,5.10,.,0.00,20,1.00,0.00,0.00,1,0,0,sun_utility,.,.,.,.,.,.,.
NG_GT,nat_gas,Menorca,0.00,.,8.90,7.26,30,0.00,0.02,0.00,0,0,0,gas,.,.,.,.,.,.,.
CCGT,ccgt,Menorca,0.00,.,6.25,2.61,30,0.00,0.02,0.00,0,0,0,gas,.,.,.,.,.,.,.
CCGT_CCS,ccgt_ccs,Menorca,0.00,.,7.12,5.83,30,0.00,0.02,0.00,0,0,0,gas,.,.,.,.,.,.,.
Residential_PV,rooftop_pv,Menorca,0.00,50,.,0.00,20,0.005,0.00,0.00,1,0,0,sun_residential,0.005,.,.,.,.,.,.
Commercial_PV,commercial_pv,Menorca,0.00,50,.,0.00,20,0.10,0.00,0.00,1,0,0,sun_commercial,0.1,.,.,.,.,.,.
Utility_PV,utility_pv,Menorca,0.00,50,.,0.00,20,2.00,0.00,0.00,1,0,0,sun_utility,2,.,.,.,.,.,.
Wind_OnShore,wind,Menorca,0.00,.,.,0.00,20,2.00,0.00,0.00,1,0,0,wind,2,.,.,.,.,.,.
Battery_Utility_4h,bat_4h,Menorca,0.00,.,.,0.00,15,10.00,0.00,0.00,0,0,0,battery,.,.,.,0.80,4.00,.,1.00
Battery_Utility_2h,bat_2h,Menorca,0.00,.,.,0.00,15,10.00,0.00,0.00,0,0,0,battery,.,.,.,0.80,2.00,.,1.00
Battery_Utility_1h,bat_1h,Menorca,0.00,.,.,0.00,15,10.00,0.00,0.00,0,0,0,battery,.,.,.,0.80,1.00,.,1.00
Battery_Utility_30m,bat_30m,Menorca,0.00,.,.,0.00,15,0.00,0.00,0.00,0,0,0,battery,.,.,.,0.80,0.50,.,1.00
Enlace_MallorcaMenorca,sea_cable,Menorca,0.00,35.00,.,0.00,30,35.00,0.00,0.00,0,0,0,cable,.,.,.,.,.,.,.
