GENERATION_PROJECT,build_year,gen_overnight_cost,gen_fixed_om,gen_storage_energy_overnight_cost
Diesel_GE,1995,590909,22727,.
Diesel_P&W,1995,590909,22727,.
Fueloil_MB&W,1995,590909,22727,.
Wind_Mila,2003,3019091,31755,.
PV_SonSalomo,2008,1750909,17189,.
Enlace_MallorcaMenorca,2020,2400000,24000,.
NG_GT,2021,728182,13989,.
CCGT,2021,997273,13830,.
CCGT_CCS,2021,2206364,27945,.
Utility_PV,2021,875455,17189,.
Wind_OnShore,2021,1509545,31755,.
Battery_Utility_4h,2021,1358182,33955,340455
Battery_Utility_2h,2021,852576,21314,401364
Battery_Utility_1h,2021,595000,14875,473182
Battery_Utility_30m,2021,725379,18134,813636
Enlace_MallorcaMenorca,2021,2400000,24000,.
NG_GT,2022,722672,13989,.
CCGT,2022,988983,13830,.
CCGT_CCS,2022,2175089,27945,.
Utility_PV,2022,853474,17189,.
Wind_OnShore,2022,1472042,31755,.
Battery_Utility_4h,2022,1296294,32407,324942
Battery_Utility_2h,2022,813727,20343,383075
Battery_Utility_1h,2022,567888,14197,451621
Battery_Utility_30m,2022,692326,17308,776561
Enlace_MallorcaMenorca,2022,2400000,24000,.
NG_GT,2023,717203,13989,.
CCGT,2023,980762,13830,.
CCGT_CCS,2023,2144257,27945,.
Utility_PV,2023,832046,17189,.
Wind_OnShore,2023,1435470,31755,.
Battery_Utility_4h,2023,1237227,30931,310135
Battery_Utility_2h,2023,776648,19416,365620
Battery_Utility_1h,2023,542011,13550,431042
Battery_Utility_30m,2023,660779,16519,741176
Enlace_MallorcaMenorca,2023,2400000,24000,.
NG_GT,2024,711776,13989,.
CCGT,2024,972609,13830,.
CCGT_CCS,2024,2113862,27945,.
Utility_PV,2024,811155,17189,.
Wind_OnShore,2024,1399807,31755,.
Battery_Utility_4h,2024,1180850,29521,296003
Battery_Utility_2h,2024,741259,18531,348960
Battery_Utility_1h,2024,517314,12933,411401
Battery_Utility_30m,2024,630670,15767,707403
Enlace_MallorcaMenorca,2024,2400000,24000,.
NG_GT,2025,706390,13989,.
CCGT,2025,964524,13830,.
CCGT_CCS,2025,2083898,27945,.
Utility_PV,2025,790789,17189,.
Wind_OnShore,2025,1365031,31755,.
Battery_Utility_4h,2025,1127043,28176,282515
Battery_Utility_2h,2025,707482,17687,333059
Battery_Utility_1h,2025,493741,12344,392655
Battery_Utility_30m,2025,601932,15048,675169
Enlace_MallorcaMenorca,2025,2400000,24000,.
NG_GT,2026,701045,13989,.
CCGT,2026,956506,13830,.
CCGT_CCS,2026,2054359,27945,.
Utility_PV,2026,770934,17189,.
Wind_OnShore,2026,1331118,31755,.
Battery_Utility_4h,2026,1075688,26892,269642
Battery_Utility_2h,2026,675245,16881,317882
Battery_Utility_1h,2026,471243,11781,374763
Battery_Utility_30m,2026,574504,14363,644404
Enlace_MallorcaMenorca,2026,2400000,24000,.
NG_GT,2027,695740,13989,.
CCGT,2027,948554,13830,.
CCGT_CCS,2027,2025238,27945,.
Utility_PV,2027,751578,17189,.
Wind_OnShore,2027,1298047,31755,.
Battery_Utility_4h,2027,1026672,25667,257356
Battery_Utility_2h,2027,644476,16112,303398
Battery_Utility_1h,2027,449770,11244,357686
Battery_Utility_30m,2027,548326,13708,615041
Enlace_MallorcaMenorca,2027,2400000,24000,.
NG_GT,2028,690476,13989,.
CCGT,2028,940669,13830,.
CCGT_CCS,2028,1996531,27945,.
Utility_PV,2028,732708,17189,.
Wind_OnShore,2028,1265799,31755,.
Battery_Utility_4h,2028,979890,24497,245629
Battery_Utility_2h,2028,615110,15378,289573
Battery_Utility_1h,2028,429276,10732,341388
Battery_Utility_30m,2028,523341,13084,587016
Enlace_MallorcaMenorca,2028,2400000,24000,.
NG_GT,2029,685251,13989,.
CCGT,2029,932850,13830,.
CCGT_CCS,2029,1968230,27945,.
Utility_PV,2029,714311,17189,.
Wind_OnShore,2029,1234351,31755,.
Battery_Utility_4h,2029,935240,23381,234436
Battery_Utility_2h,2029,587081,14677,276378
Battery_Utility_1h,2029,409715,10243,325832
Battery_Utility_30m,2029,499494,12487,560267
Enlace_MallorcaMenorca,2029,2400000,24000,.
NG_GT,2030,680066,13989,.
CCGT,2030,925095,13830,.
CCGT_CCS,2030,1940330,27945,.
Utility_PV,2030,696376,17189,.
Wind_OnShore,2030,1203685,31755,.
Battery_Utility_4h,2030,892624,22316,223754
Battery_Utility_2h,2030,560330,14008,263784
Battery_Utility_1h,2030,391046,9776,310985
Battery_Utility_30m,2030,476734,11918,534738
Enlace_MallorcaMenorca,2030,2400000,24000,.
