LOAD_ZONE,TIMEPOINT,zone_demand_mw
Menorca,1,38.7
Menorca,2,36.2
Menorca,3,33.2
Menorca,4,31.3
Menorca,5,29.5
Menorca,6,29.2
Menorca,7,29.7
Menorca,8,31.7
Menorca,9,33.3
Menorca,10,37.3
Menorca,11,40.7
Menorca,12,42.5
Menorca,13,41.7
Menorca,14,42.2
Menorca,15,40.3
Menorca,16,37.5
Menorca,17,37
Menorca,18,39.8
Menorca,19,46.2
Menorca,20,48.7
Menorca,21,50
Menorca,22,49.5
Menorca,23,44.7
Menorca,24,38.7
Menorca,25,33.8
Menorca,26,30.3
Menorca,27,28.2
Menorca,28,27.7
Menorca,29,28
Menorca,30,29
Menorca,31,34.3
Menorca,32,43.7
Menorca,33,51
Menorca,34,55.7
Menorca,35,57
Menorca,36,55.5
Menorca,37,52.8
Menorca,38,51.8
Menorca,39,49.2
Menorca,40,48.8
Menorca,41,49.7
Menorca,42,53.7
Menorca,43,57.5
Menorca,44,59.2
Menorca,45,60.8
Menorca,46,57.5
Menorca,47,51
Menorca,48,43.8
Menorca,49,36.8
Menorca,50,32.3
Menorca,51,30.2
Menorca,52,29
Menorca,53,28.8
Menorca,54,30.7
Menorca,55,35.8
Menorca,56,45.3
Menorca,57,53.7
Menorca,58,59.3
Menorca,59,61.3
Menorca,60,60
Menorca,61,58.7
Menorca,62,56.5
Menorca,63,53
Menorca,64,52.2
Menorca,65,52.2
Menorca,66,56.2
Menorca,67,59.8
Menorca,68,60.8
Menorca,69,61.7
Menorca,70,59.3
Menorca,71,52.7
Menorca,72,44.3
Menorca,73,37.3
Menorca,74,33.2
Menorca,75,30.5
Menorca,76,29.5
Menorca,77,29.3
Menorca,78,31.2
Menorca,79,36.8
Menorca,80,47.2
Menorca,81,54.8
Menorca,82,60
Menorca,83,61.7
Menorca,84,59.3
Menorca,85,57.5
Menorca,86,55.7
Menorca,87,52.7
Menorca,88,51.7
Menorca,89,52.2
Menorca,90,55.3
Menorca,91,60.2
Menorca,92,61.5
Menorca,93,62
Menorca,94,58.7
Menorca,95,53
Menorca,96,45.8
Menorca,97,39.2
Menorca,98,34.3
Menorca,99,31.7
Menorca,100,29.7
Menorca,101,29.3
Menorca,102,30.3
Menorca,103,33.3
Menorca,104,38.5
Menorca,105,44.3
Menorca,106,51.5
Menorca,107,55
Menorca,108,53.5
Menorca,109,51.2
Menorca,110,50.3
Menorca,111,48.5
Menorca,112,47.8
Menorca,113,47.7
Menorca,114,51.5
Menorca,115,57.3
Menorca,116,53.2
Menorca,117,50.3
Menorca,118,50
Menorca,119,47.3
Menorca,120,44.2
Menorca,121,38.7
Menorca,122,33.8
Menorca,123,30.8
Menorca,124,29
Menorca,125,28.5
Menorca,126,28.8
Menorca,127,30
Menorca,128,33.7
Menorca,129,37.8
Menorca,130,45.2
Menorca,131,47.3
Menorca,132,46.5
Menorca,133,43.7
Menorca,134,42.7
Menorca,135,40.3
Menorca,136,39.2
Menorca,137,39.2
Menorca,138,41.8
Menorca,139,48.3
Menorca,140,52.2
Menorca,141,54.5
Menorca,142,52.8
Menorca,143,47.5
Menorca,144,40.8
Menorca,145,34.5
Menorca,146,30.7
Menorca,147,28.5
Menorca,148,27.7
Menorca,149,28
Menorca,150,29.8
Menorca,151,36.7
Menorca,152,50.3
Menorca,153,57.2
Menorca,154,59.5
Menorca,155,59.8
Menorca,156,58.3
Menorca,157,57.2
Menorca,158,55.8
Menorca,159,53.2
Menorca,160,53.8
Menorca,161,56
Menorca,162,59.5
Menorca,163,62.2
Menorca,164,63.7
Menorca,165,65
Menorca,166,61.8
Menorca,167,53.5
Menorca,168,44.5
Menorca,169,37.3
Menorca,170,33
Menorca,171,30.7
Menorca,172,29.5
Menorca,173,29.8
Menorca,174,31.3
Menorca,175,38.5
Menorca,176,52.5
Menorca,177,59.7
Menorca,178,61.5
Menorca,179,60.8
Menorca,180,59.3
Menorca,181,58.2
Menorca,182,55.7
Menorca,183,52.8
Menorca,184,52
Menorca,185,52.5
Menorca,186,56
Menorca,187,61.3
Menorca,188,63.8
Menorca,189,65.2
Menorca,190,62.2
Menorca,191,53.7
Menorca,192,44.7
Menorca,193,37
Menorca,194,32.7
Menorca,195,30.3
Menorca,196,29.2
Menorca,197,29.5
Menorca,198,30.8
Menorca,199,38
Menorca,200,52.2
Menorca,201,59.7
Menorca,202,60.2
Menorca,203,60.7
Menorca,204,59
Menorca,205,57.7
Menorca,206,55.7
Menorca,207,53.8
Menorca,208,55
Menorca,209,57.2
Menorca,210,61.3
Menorca,211,64.8
Menorca,212,66.5
Menorca,213,67.3
Menorca,214,63.7
Menorca,215,54.8
Menorca,216,45
Menorca,217,37.5
Menorca,218,33.5
Menorca,219,31
Menorca,220,30.2
Menorca,221,30.3
Menorca,222,32.3
Menorca,223,39.3
Menorca,224,53.8
Menorca,225,61.8
Menorca,226,63.5
Menorca,227,66
Menorca,228,65.3
Menorca,229,63.5
Menorca,230,61.8
Menorca,231,58.7
Menorca,232,60.7
Menorca,233,62.8
Menorca,234,65.8
Menorca,235,68.8
Menorca,236,71
Menorca,237,70.5
Menorca,238,66.8
Menorca,239,57
Menorca,240,47.2
Menorca,241,39.3
Menorca,242,34.8
Menorca,243,32.3
Menorca,244,31.3
Menorca,245,31.3
Menorca,246,32.7
Menorca,247,40.7
Menorca,248,55
Menorca,249,63.3
Menorca,250,66.5
Menorca,251,66.7
Menorca,252,65.5
Menorca,253,65.2
Menorca,254,63.5
Menorca,255,61.3
Menorca,256,59
Menorca,257,58.7
Menorca,258,61.7
Menorca,259,66.7
Menorca,260,68.5
Menorca,261,68.5
Menorca,262,65
Menorca,263,57.8
Menorca,264,49.5
Menorca,265,41.8
Menorca,266,36
Menorca,267,32.8
Menorca,268,31.3
Menorca,269,31
Menorca,270,31.8
Menorca,271,34.7
Menorca,272,40.8
Menorca,273,48.2
Menorca,274,57.7
Menorca,275,62.5
Menorca,276,61.8
Menorca,277,58.2
Menorca,278,56.5
Menorca,279,54.8
Menorca,280,52.7
Menorca,281,51.5
Menorca,282,52.5
Menorca,283,58.3
Menorca,284,59.7
Menorca,285,60.5
Menorca,286,58.8
Menorca,287,53.2
Menorca,288,47.2
Menorca,289,40.5
Menorca,290,35
Menorca,291,32
Menorca,292,30.3
Menorca,293,29.8
Menorca,294,30.5
Menorca,295,32
Menorca,296,35.7
Menorca,297,40.8
Menorca,298,47.8
Menorca,299,51.5
Menorca,300,50.8
Menorca,301,48
Menorca,302,48.8
Menorca,303,47.8
Menorca,304,45.7
Menorca,305,45
Menorca,306,47.2
Menorca,307,54.7
Menorca,308,58
Menorca,309,60.3
Menorca,310,58.2
Menorca,311,51.3
Menorca,312,43.3
Menorca,313,36.5
Menorca,314,32.3
Menorca,315,30.2
Menorca,316,29
Menorca,317,29.7
Menorca,318,31.3
Menorca,319,38.3
Menorca,320,52.8
Menorca,321,59.8
Menorca,322,61
Menorca,323,61.5
Menorca,324,59.2
Menorca,325,58.7
Menorca,326,57.7
Menorca,327,55.5
Menorca,328,54.8
Menorca,329,56
Menorca,330,57.2
Menorca,331,62
Menorca,332,63.7
Menorca,333,65.3
Menorca,334,62.7
Menorca,335,54
Menorca,336,45.3
Menorca,337,37.7
Menorca,338,33
Menorca,339,31.5
Menorca,340,30.7
Menorca,341,30.7
Menorca,342,32
Menorca,343,38.8
Menorca,344,52.5
Menorca,345,60.2
Menorca,346,60.8
Menorca,347,61.5
Menorca,348,58.7
Menorca,349,57
Menorca,350,55.7
Menorca,351,53.3
Menorca,352,52.2
Menorca,353,53.7
Menorca,354,54.8
Menorca,355,60.5
Menorca,356,63.2
Menorca,357,65.2
Menorca,358,62.2
Menorca,359,53.8
Menorca,360,45
Menorca,361,37.7
Menorca,362,33.2
Menorca,363,31.2
Menorca,364,30.2
Menorca,365,30.2
Menorca,366,32
Menorca,367,39.2
Menorca,368,52.7
Menorca,369,59.5
Menorca,370,60.5
Menorca,371,61.2
Menorca,372,60.7
Menorca,373,59.3
Menorca,374,58.5
Menorca,375,56.3
Menorca,376,56.8
Menorca,377,56.3
Menorca,378,57.5
Menorca,379,61.3
Menorca,380,62
Menorca,381,61.2
Menorca,382,58
Menorca,383,52
Menorca,384,45
Menorca,385,38.5
Menorca,386,34.2
Menorca,387,31.5
Menorca,388,29.7
Menorca,389,29
Menorca,390,30
Menorca,391,32.7
Menorca,392,36.7
Menorca,393,41.3
Menorca,394,48.2
Menorca,395,50.8
Menorca,396,49.5
Menorca,397,44.7
Menorca,398,44.2
Menorca,399,43.5
Menorca,400,42.5
Menorca,401,43
Menorca,402,45.3
Menorca,403,51.5
Menorca,404,55
Menorca,405,57
Menorca,406,55
Menorca,407,48.5
Menorca,408,41.5
Menorca,409,35.2
Menorca,410,31.5
Menorca,411,29.7
Menorca,412,28.7
Menorca,413,28.2
Menorca,414,30.2
Menorca,415,36.3
Menorca,416,49
Menorca,417,55.8
Menorca,418,58.8
Menorca,419,59.7
Menorca,420,57.8
Menorca,421,56.3
Menorca,422,55.5
Menorca,423,52.2
Menorca,424,51.7
Menorca,425,52.8
Menorca,426,54.8
Menorca,427,59.3
Menorca,428,60.5
Menorca,429,60.5
Menorca,430,58
Menorca,431,51.3
Menorca,432,43.8
Menorca,433,37.7
Menorca,434,33.2
Menorca,435,30.3
Menorca,436,28.8
Menorca,437,29
Menorca,438,30
Menorca,439,33
Menorca,440,38.5
Menorca,441,44.7
Menorca,442,52.3
Menorca,443,56.7
Menorca,444,54
Menorca,445,50.5
Menorca,446,50.2
Menorca,447,49.5
Menorca,448,47
Menorca,449,45.7
Menorca,450,47.2
Menorca,451,53.5
Menorca,452,57.2
Menorca,453,58
