load_zone,fuel,period,fuel_cost
Menorca,diesel,2021,40.91
Menorca,fueloil,2021,18.24
Menorca,gas,2021,16.38
Menorca,gas_ccs,2021,10.46
Menorca,cable,2021,22.66
Menorca,diesel,2022,40.91
Menorca,fueloil,2022,18.24
Menorca,gas,2022,16.38
Menorca,gas_ccs,2022,10.46
Menorca,cable,2022,22.66
Menorca,diesel,2023,40.91
Menorca,fueloil,2023,18.24
Menorca,gas,2023,16.38
Menorca,gas_ccs,2023,10.46
Menorca,cable,2023,22.66
Menorca,diesel,2024,40.91
Menorca,fueloil,2024,18.24
Menorca,gas,2024,16.38
Menorca,gas_ccs,2024,10.46
Menorca,cable,2024,22.66
Menorca,diesel,2025,40.91
Menorca,fueloil,2025,18.24
Menorca,gas,2025,16.38
Menorca,gas_ccs,2025,10.46
Menorca,cable,2025,22.66
Menorca,diesel,2026,40.91
Menorca,fueloil,2026,18.24
Menorca,gas,2026,16.38
Menorca,gas_ccs,2026,10.46
Menorca,cable,2026,22.66
Menorca,diesel,2027,40.91
Menorca,fueloil,2027,18.24
Menorca,gas,2027,16.38
Menorca,gas_ccs,2027,10.46
Menorca,cable,2027,22.66
Menorca,diesel,2028,40.91
Menorca,fueloil,2028,18.24
Menorca,gas,2028,16.38
Menorca,gas_ccs,2028,10.46
Menorca,cable,2028,22.66
Menorca,diesel,2029,40.91
Menorca,fueloil,2029,18.24
Menorca,gas,2029,16.38
Menorca,gas_ccs,2029,10.46
Menorca,cable,2029,22.66
Menorca,diesel,2030,40.91
Menorca,fueloil,2030,18.24
Menorca,gas,2030,16.38
Menorca,gas_ccs,2030,10.46
Menorca,cable,2030,22.66
