gen_tech,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr
bat_1h,battery,2021,0.0,0.0,0.0
bat_1h,battery,2022,0.0,0.0,0.0
bat_1h,battery,2023,1.5483013000000012,0.0,0.0
bat_1h,battery,2024,2.3889368999999965,0.0,0.0
bat_1h,battery,2025,2.433239549999997,0.0,0.0
bat_1h,battery,2026,2.2906715999999974,0.0,0.0
bat_1h,battery,2027,2.126629399999997,0.0,0.0
bat_1h,battery,2028,2.402546299999997,0.0,0.0
bat_1h,battery,2029,2.514331049999997,0.0,0.0
bat_1h,battery,2030,2.5149183499999963,0.0,0.0
bat_2h,battery,2021,0.0,0.0,0.0
bat_2h,battery,2022,0.0,0.0,0.0
bat_2h,battery,2023,0.0,0.0,0.0
bat_2h,battery,2024,0.0,0.0,0.0
bat_2h,battery,2025,0.0,0.0,0.0
bat_2h,battery,2026,0.0,0.0,0.0
bat_2h,battery,2027,0.0,0.0,0.0
bat_2h,battery,2028,0.0,0.0,0.0
bat_2h,battery,2029,0.0,0.0,0.0
bat_2h,battery,2030,0.0,0.0,0.0
bat_4h,battery,2021,0.0,0.0,0.0
bat_4h,battery,2022,0.0,0.0,0.0
bat_4h,battery,2023,0.0,0.0,0.0
bat_4h,battery,2024,0.0,0.0,0.0
bat_4h,battery,2025,0.0,0.0,0.0
bat_4h,battery,2026,0.0,0.0,0.0
bat_4h,battery,2027,0.0,0.0,0.0
bat_4h,battery,2028,0.0,0.0,0.0
bat_4h,battery,2029,0.0,0.0,0.0
bat_4h,battery,2030,0.0,0.0,0.0
cable,cable,2021,144.46028800000076,0.0,28476.011970559935
cable,cable,2022,139.27948650000067,0.0,27454.77237887991
cable,cable,2023,138.21709092058893,0.0,27245.352962266283
cable,cable,2024,126.79652388529462,0.0,24994.130788269165
cable,cable,2025,129.76782590882405,0.0,25579.83384314726
cable,cable,2026,129.39004099411818,0.0,25505.36488076046
cable,cable,2027,130.77095300294172,0.0,25777.570255939732
cable,cable,2028,130.94673463529458,0.0,25812.220331309145
cable,cable,2029,133.95730945882408,0.0,26405.664840523288
cable,cable,2030,134.6760661852946,0.0,26547.346166445113
ccgt,gas,2021,0.0,0.0,0.0
ccgt,gas,2022,0.0,0.0,0.0
ccgt,gas,2023,0.0,0.0,0.0
ccgt,gas,2024,0.0,0.0,0.0
ccgt,gas,2025,0.0,0.0,0.0
ccgt,gas,2026,0.0,0.0,0.0
ccgt,gas,2027,0.0,0.0,0.0
ccgt,gas,2028,0.0,0.0,0.0
ccgt,gas,2029,0.0,0.0,0.0
ccgt,gas,2030,0.0,0.0,0.0
ccgt_ccs,gas_ccs,2021,0.0,0.0,0.0
ccgt_ccs,gas_ccs,2022,0.0,0.0,0.0
ccgt_ccs,gas_ccs,2023,0.0,0.0,0.0
ccgt_ccs,gas_ccs,2024,0.0,0.0,0.0
ccgt_ccs,gas_ccs,2025,0.0,0.0,0.0
ccgt_ccs,gas_ccs,2026,0.0,0.0,0.0
