load_zone,fuel,period,fuel_cost
Menorca,diesel,2021,34.66
Menorca,fueloil,2021,11.70
Menorca,gas,2021,11.65
Menorca,cable,2021,18.16
Menorca,diesel,2022,34.66
Menorca,fueloil,2022,11.70
Menorca,gas,2022,11.65
Menorca,cable,2022,18.16
Menorca,diesel,2023,34.66
Menorca,fueloil,2023,11.70
Menorca,gas,2023,11.65
Menorca,cable,2023,18.16
Menorca,diesel,2024,34.66
Menorca,fueloil,2024,11.70
Menorca,gas,2024,11.65
Menorca,cable,2024,18.16
Menorca,diesel,2025,34.66
Menorca,fueloil,2025,11.70
Menorca,gas,2025,11.65
Menorca,cable,2025,18.16
Menorca,diesel,2026,34.66
Menorca,fueloil,2026,11.70
Menorca,gas,2026,11.65
Menorca,cable,2026,18.16
Menorca,diesel,2027,34.66
Menorca,fueloil,2027,11.70
Menorca,gas,2027,11.65
Menorca,cable,2027,18.16
Menorca,diesel,2028,34.66
Menorca,fueloil,2028,11.70
Menorca,gas,2028,11.65
Menorca,cable,2028,18.16
Menorca,diesel,2029,34.66
Menorca,fueloil,2029,11.70
Menorca,gas,2029,11.65
Menorca,cable,2029,18.16
Menorca,diesel,2030,34.66
Menorca,fueloil,2030,11.70
Menorca,gas,2030,11.65
Menorca,cable,2030,18.16
