gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr
bat_1h,Menorca,battery,2021,0.0,0.0,0.0
bat_1h,Menorca,battery,2022,0.0,0.0,0.0
bat_1h,Menorca,battery,2023,0.0,0.0,0.0
bat_1h,Menorca,battery,2024,0.0,0.0,0.0
bat_1h,Menorca,battery,2025,0.0,0.0,0.0
bat_1h,Menorca,battery,2026,2.21948358333333,0.0,0.0
bat_1h,Menorca,battery,2027,2.1363536833333305,0.0,0.0
bat_1h,Menorca,battery,2028,2.1479211249999963,0.0,0.0
bat_1h,Menorca,battery,2029,2.1497313833333296,0.0,0.0
bat_1h,Menorca,battery,2030,2.159513999999997,0.0,0.0
bat_2h,Menorca,battery,2021,0.0,0.0,0.0
bat_2h,Menorca,battery,2022,0.0,0.0,0.0
bat_2h,Menorca,battery,2023,0.0,0.0,0.0
bat_2h,Menorca,battery,2024,0.0,0.0,0.0
bat_2h,Menorca,battery,2025,0.0,0.0,0.0
bat_2h,Menorca,battery,2026,0.0,0.0,0.0
bat_2h,Menorca,battery,2027,0.0,0.0,0.0
bat_2h,Menorca,battery,2028,0.0,0.0,0.0
bat_2h,Menorca,battery,2029,0.0,0.0,0.0
bat_2h,Menorca,battery,2030,0.0,0.0,0.0
bat_4h,Menorca,battery,2021,0.0,0.0,0.0
bat_4h,Menorca,battery,2022,0.0,0.0,0.0
bat_4h,Menorca,battery,2023,0.0,0.0,0.0
bat_4h,Menorca,battery,2024,0.0,0.0,0.0
bat_4h,Menorca,battery,2025,0.0,0.0,0.0
bat_4h,Menorca,battery,2026,0.0,0.0,0.0
bat_4h,Menorca,battery,2027,0.0,0.0,0.0
bat_4h,Menorca,battery,2028,0.0,0.0,0.0
bat_4h,Menorca,battery,2029,0.0,0.0,0.0
bat_4h,Menorca,battery,2030,0.0,0.0,0.0
cable,Menorca,cable,2021,173.16685400000154,0.0,34134.65026047979
cable,Menorca,cable,2022,167.60082850000106,0.0,33037.47531391981
cable,Menorca,cable,2023,171.01584500000118,0.0,33710.64336639979
cable,Menorca,cable,2024,164.80044000000095,0.0,32485.46273279985
cable,Menorca,cable,2025,159.40999900000108,0.0,31422.89900287986
cable,Menorca,cable,2026,146.48653180000076,0.0,28875.42514841591
cable,Menorca,cable,2027,149.30693426764793,0.0,29431.38288283847
cable,Menorca,cable,2028,149.5274579132361,0.0,29474.852503856855
cable,Menorca,cable,2029,143.30592392941242,0.0,28248.46372496556
cable,Menorca,cable,2030,139.2639261176477,0.0,27451.705116310517
diesel,Menorca,diesel,2021,0.9824430000000002,0.0,808.4523447
diesel,Menorca,diesel,2022,1.1404959999999995,0.0,938.5141583999998
fueloil,Menorca,fueloil,2021,42.37165800000001,0.0,36655.72133580002
fueloil,Menorca,fueloil,2022,42.55845650000004,0.0,36817.32071815
mila_wind,Menorca,wind,2021,5.823047999999957,0.0,0.0
mila_wind,Menorca,wind,2022,5.453741999999969,0.0,0.0
mila_wind,Menorca,wind,2023,5.882316999999963,0.0,0.0
mila_wind,Menorca,wind,2024,5.634625499999954,0.0,0.0
mila_wind,Menorca,wind,2025,5.626634999999963,0.0,0.0
mila_wind,Menorca,wind,2026,5.35987549999997,0.0,0.0
mila_wind,Menorca,wind,2027,5.499101382352902,0.0,0.0
mila_wind,Menorca,wind,2028,5.201195382352903,0.0,0.0
