GENERATION_PROJECT,build_year,gen_overnight_cost,gen_fixed_om,gen_storage_energy_overnight_cost
Diesel_GE,2003,590909,22727,.
Diesel_P&W,2003,590909,22727,.
Fueloil_MB&W,2003,590909,22727,.
Wind_Mila,2004,2000000,40000,.
PV_SonSalomo,2008,5000000,100000,.
Seacable,2020,2400000,60000,.
Seacable,2021,2400000,60000,.
NG_GT,2021,711776,13778,.
CCGT,2021,980761,13601,.
Utility_PV,2021,832045,14688,.
Wind_OnShore,2021,1435471,30196,.
Battery_Utility_4h,2021,1237226,30931,310135
Battery_Utility_2h,2021,776648,19416,365619
Battery_Utility_1h,2021,542011,13550,431042
Seacable,2022,2400000,60000,.
NG_GT,2022,706390,13673,.
CCGT,2022,972608,13488,.
Utility_PV,2022,811155,14319,.
Wind_OnShore,2022,1399808,29446,.
Battery_Utility_4h,2022,1180850,29521,296003
Battery_Utility_2h,2022,741259,18531,348959
Battery_Utility_1h,2022,517314,12933,411401
Seacable,2023,2400000,60000,.
NG_GT,2023,701045,13570,.
CCGT,2023,964523,13375,.
Utility_PV,2023,790789,13960,.
Wind_OnShore,2023,1365031,28715,.
Battery_Utility_4h,2023,1127043,28176,282515
Battery_Utility_2h,2023,707482,17687,333059
Battery_Utility_1h,2023,493741,12344,392655
Seacable,2024,2400000,60000,.
NG_GT,2024,695740,13467,.
CCGT,2024,956505,13264,.
Utility_PV,2024,770934,13609,.
Wind_OnShore,2024,1331118,28001,.
Battery_Utility_4h,2024,1075687,26892,269642
Battery_Utility_2h,2024,675245,16881,317882
Battery_Utility_1h,2024,471243,11781,374763
Seacable,2025,2400000,60000,.
NG_GT,2025,690476,13365,.
CCGT,2025,948554,13154,.
Utility_PV,2025,751577,13268,.
Wind_OnShore,2025,1298048,27306,.
Battery_Utility_4h,2025,1026672,25667,257355
Battery_Utility_2h,2025,644476,16112,303397
Battery_Utility_1h,2025,449770,11244,357686
Seacable,2026,2400000,60000,.
NG_GT,2026,685251,13264,.
CCGT,2026,940669,13045,.
Utility_PV,2026,732707,12935,.
Wind_OnShore,2026,1265799,26627,.
Battery_Utility_4h,2026,979890,24497,245628
Battery_Utility_2h,2026,615110,15378,289573
Battery_Utility_1h,2026,429276,10732,341387
Seacable,2027,2400000,60000,.
NG_GT,2027,680066,13164,.
CCGT,2027,932849,12936,.
Utility_PV,2027,714311,12610,.
Wind_OnShore,2027,1234352,25966,.
Battery_Utility_4h,2027,935240,23381,234436
Battery_Utility_2h,2027,587081,14677,276378
Battery_Utility_1h,2027,409715,10243,325832
Seacable,2028,2400000,60000,.
NG_GT,2028,674920,13064,.
CCGT,2028,925095,12829,.
Utility_PV,2028,696376,12293,.
Wind_OnShore,2028,1203685,25321,.
Battery_Utility_4h,2028,892624,22316,223754
Battery_Utility_2h,2028,560330,14008,263784
Battery_Utility_1h,2028,391046,9776,310985
Seacable,2029,2400000,60000,.
NG_GT,2029,669813,12965,.
CCGT,2029,917405,12722,.
Utility_PV,2029,678892,11985,.
Wind_OnShore,2029,1173781,24691,.
Battery_Utility_4h,2029,851950,21299,213558
Battery_Utility_2h,2029,534798,13370,251764
Battery_Utility_1h,2029,373227,9331,296814
Seacable,2030,2400000,60000,.
NG_GT,2030,664744,12867,.
CCGT,2030,909778,12616,.
Utility_PV,2030,661846,11684,.
Wind_OnShore,2030,1144619,24078,.
Battery_Utility_4h,2030,813130,20328,203827
Battery_Utility_2h,2030,510429,12761,240292
Battery_Utility_1h,2030,356221,8906,283289
