TIMESERIES,ts_period,ts_duration_of_tp,ts_num_tps,ts_scale_to_period
2021W01,2021,1,24,7
2021W02,2021,1,24,7
2021W03,2021,1,24,7
2021W04,2021,1,24,7
2021W05,2021,1,24,7
2021W06,2021,1,24,7
2021W07,2021,1,24,7
2021W08,2021,1,24,7
2021W09,2021,1,24,7
2021W10,2021,1,24,7
2021W11,2021,1,24,7
2021W12,2021,1,24,7
2021W13,2021,1,24,7
2021W14,2021,1,24,7
2021W15,2021,1,24,7
2021W16,2021,1,24,7
2021W17,2021,1,24,7
2021W18,2021,1,24,7
2021W19,2021,1,24,7
2021W20,2021,1,24,7
2021W21,2021,1,24,7
2021W22,2021,1,24,7
2021W23,2021,1,24,7
2021W24,2021,1,24,7
2021W25,2021,1,24,7
2021W26,2021,1,24,7
2021W27,2021,1,24,7
2021W28,2021,1,24,7
2021W29,2021,1,24,7
2021W30,2021,1,24,7
2021W31,2021,1,24,7
2021W32,2021,1,24,7
2021W33,2021,1,24,7
2021W34,2021,1,24,7
2021W35,2021,1,24,7
2021W36,2021,1,24,7
2021W37,2021,1,24,7
2021W38,2021,1,24,7
2021W39,2021,1,24,7
2021W40,2021,1,24,7
2021W41,2021,1,24,7
2021W42,2021,1,24,7
2021W43,2021,1,24,7
2021W44,2021,1,24,7
2021W45,2021,1,24,7
2021W46,2021,1,24,7
2021W47,2021,1,24,7
2021W48,2021,1,24,7
2021W49,2021,1,24,7
2021W50,2021,1,24,7
2021W51,2021,1,24,7
2021W52,2021,1,24,7
2022W01,2022,1,24,7
2022W02,2022,1,24,7
2022W03,2022,1,24,7
2022W04,2022,1,24,7
2022W05,2022,1,24,7
2022W06,2022,1,24,7
2022W07,2022,1,24,7
2022W08,2022,1,24,7
2022W09,2022,1,24,7
2022W10,2022,1,24,7
2022W11,2022,1,24,7
2022W12,2022,1,24,7
2022W13,2022,1,24,7
2022W14,2022,1,24,7
2022W15,2022,1,24,7
2022W16,2022,1,24,7
2022W17,2022,1,24,7
2022W18,2022,1,24,7
2022W19,2022,1,24,7
2022W20,2022,1,24,7
2022W21,2022,1,24,7
2022W22,2022,1,24,7
2022W23,2022,1,24,7
2022W24,2022,1,24,7
2022W25,2022,1,24,7
2022W26,2022,1,24,7
2022W27,2022,1,24,7
2022W28,2022,1,24,7
2022W29,2022,1,24,7
2022W30,2022,1,24,7
2022W31,2022,1,24,7
2022W32,2022,1,24,7
2022W33,2022,1,24,7
2022W34,2022,1,24,7
2022W35,2022,1,24,7
2022W36,2022,1,24,7
2022W37,2022,1,24,7
2022W38,2022,1,24,7
2022W39,2022,1,24,7
2022W40,2022,1,24,7
2022W41,2022,1,24,7
2022W42,2022,1,24,7
2022W43,2022,1,24,7
2022W44,2022,1,24,7
2022W45,2022,1,24,7
2022W46,2022,1,24,7
2022W47,2022,1,24,7
2022W48,2022,1,24,7
2022W49,2022,1,24,7
2022W50,2022,1,24,7
2022W51,2022,1,24,7
2022W52,2022,1,24,7
2023W01,2023,1,24,7
2023W02,2023,1,24,7
2023W03,2023,1,24,7
2023W04,2023,1,24,7
2023W05,2023,1,24,7
2023W06,2023,1,24,7
2023W07,2023,1,24,7
2023W08,2023,1,24,7
2023W09,2023,1,24,7
2023W10,2023,1,24,7
2023W11,2023,1,24,7
2023W12,2023,1,24,7
2023W13,2023,1,24,7
2023W14,2023,1,24,7
2023W15,2023,1,24,7
2023W16,2023,1,24,7
2023W17,2023,1,24,7
2023W18,2023,1,24,7
2023W19,2023,1,24,7
2023W20,2023,1,24,7
2023W21,2023,1,24,7
2023W22,2023,1,24,7
2023W23,2023,1,24,7
2023W24,2023,1,24,7
2023W25,2023,1,24,7
2023W26,2023,1,24,7
2023W27,2023,1,24,7
2023W28,2023,1,24,7
2023W29,2023,1,24,7
2023W30,2023,1,24,7
2023W31,2023,1,24,7
2023W32,2023,1,24,7
2023W33,2023,1,24,7
2023W34,2023,1,24,7
2023W35,2023,1,24,7
2023W36,2023,1,24,7
2023W37,2023,1,24,7
2023W38,2023,1,24,7
2023W39,2023,1,24,7
2023W40,2023,1,24,7
2023W41,2023,1,24,7
2023W42,2023,1,24,7
2023W43,2023,1,24,7
2023W44,2023,1,24,7
2023W45,2023,1,24,7
2023W46,2023,1,24,7
2023W47,2023,1,24,7
2023W48,2023,1,24,7
2023W49,2023,1,24,7
2023W50,2023,1,24,7
2023W51,2023,1,24,7
2023W52,2023,1,24,7
2024W01,2024,1,24,7
2024W02,2024,1,24,7
2024W03,2024,1,24,7
2024W04,2024,1,24,7
2024W05,2024,1,24,7
2024W06,2024,1,24,7
2024W07,2024,1,24,7
2024W08,2024,1,24,7
2024W09,2024,1,24,7
2024W10,2024,1,24,7
2024W11,2024,1,24,7
2024W12,2024,1,24,7
2024W13,2024,1,24,7
2024W14,2024,1,24,7
2024W15,2024,1,24,7
2024W16,2024,1,24,7
2024W17,2024,1,24,7
2024W18,2024,1,24,7
2024W19,2024,1,24,7
2024W20,2024,1,24,7
2024W21,2024,1,24,7
2024W22,2024,1,24,7
2024W23,2024,1,24,7
2024W24,2024,1,24,7
2024W25,2024,1,24,7
2024W26,2024,1,24,7
2024W27,2024,1,24,7
2024W28,2024,1,24,7
2024W29,2024,1,24,7
2024W30,2024,1,24,7
2024W31,2024,1,24,7
2024W32,2024,1,24,7
2024W33,2024,1,24,7
2024W34,2024,1,24,7
2024W35,2024,1,24,7
2024W36,2024,1,24,7
2024W37,2024,1,24,7
2024W38,2024,1,24,7
2024W39,2024,1,24,7
2024W40,2024,1,24,7
2024W41,2024,1,24,7
2024W42,2024,1,24,7
2024W43,2024,1,24,7
2024W44,2024,1,24,7
2024W45,2024,1,24,7
2024W46,2024,1,24,7
2024W47,2024,1,24,7
2024W48,2024,1,24,7
2024W49,2024,1,24,7
2024W50,2024,1,24,7
2024W51,2024,1,24,7
2024W52,2024,1,24,7
2025W01,2025,1,24,7
2025W02,2025,1,24,7
2025W03,2025,1,24,7
2025W04,2025,1,24,7
2025W05,2025,1,24,7
2025W06,2025,1,24,7
2025W07,2025,1,24,7
2025W08,2025,1,24,7
2025W09,2025,1,24,7
2025W10,2025,1,24,7
2025W11,2025,1,24,7
2025W12,2025,1,24,7
2025W13,2025,1,24,7
2025W14,2025,1,24,7
2025W15,2025,1,24,7
2025W16,2025,1,24,7
2025W17,2025,1,24,7
2025W18,2025,1,24,7
2025W19,2025,1,24,7
2025W20,2025,1,24,7
2025W21,2025,1,24,7
2025W22,2025,1,24,7
2025W23,2025,1,24,7
2025W24,2025,1,24,7
2025W25,2025,1,24,7
2025W26,2025,1,24,7
2025W27,2025,1,24,7
2025W28,2025,1,24,7
2025W29,2025,1,24,7
2025W30,2025,1,24,7
2025W31,2025,1,24,7
2025W32,2025,1,24,7
2025W33,2025,1,24,7
2025W34,2025,1,24,7
2025W35,2025,1,24,7
2025W36,2025,1,24,7
2025W37,2025,1,24,7
2025W38,2025,1,24,7
2025W39,2025,1,24,7
2025W40,2025,1,24,7
2025W41,2025,1,24,7
2025W42,2025,1,24,7
2025W43,2025,1,24,7
2025W44,2025,1,24,7
