PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2021,TotalGenFixedCosts,annual,41502508.01473434,42332558.17502894
2021,StorageEnergyInstallCosts,annual,74175.06066903513,75658.56188241567
2022,TotalGenFixedCosts,annual,41680879.65755986,43364787.19572519
2022,StorageEnergyInstallCosts,annual,72720.64771474032,75658.56188241567
2023,TotalGenFixedCosts,annual,27037183.3276773,28692075.244797714
2023,StorageEnergyInstallCosts,annual,71294.75266151011,75658.56188241567
2024,TotalGenFixedCosts,annual,27175792.1740392,29415951.422656283
2024,StorageEnergyInstallCosts,annual,69896.81633481385,75658.56188241567
2025,TotalGenFixedCosts,annual,27016048.992939282,29827901.07141489
2025,StorageEnergyInstallCosts,annual,68526.2905243273,75658.56188241567
2026,TotalGenFixedCosts,annual,27556451.474370368,31033040.05870789
2026,StorageEnergyInstallCosts,annual,67182.63776894832,75658.56188241567
2027,TotalGenFixedCosts,annual,27126328.096289467,31159624.300159626
2027,StorageEnergyInstallCosts,annual,65865.33114602776,75658.56188241567
2028,TotalGenFixedCosts,annual,26805089.570409708,31406434.65377646
2028,StorageEnergyInstallCosts,annual,64573.8540647331,75658.56188241567
2029,TotalGenFixedCosts,annual,25993764.805546347,31064955.149624545
2029,StorageEnergyInstallCosts,annual,63307.700063463824,75658.56188241567
2030,TotalGenFixedCosts,annual,26233025.95732487,31977912.261556573
2030,StorageEnergyInstallCosts,annual,62066.37261123904,75658.56188241567
2021,GenVariableOMCostsInTP,timepoint,126239.34626470577,128764.13318999961
2021,FuelCostsPerTP,timepoint,17008454.01871862,17348623.099092953
2022,GenVariableOMCostsInTP,timepoint,120527.90461361002,125397.23195999961
2022,FuelCostsPerTP,timepoint,16087739.499212483,16737684.174980633
2023,GenVariableOMCostsInTP,timepoint,234677.64225580712,249041.79138300006
2023,FuelCostsPerTP,timepoint,14143991.744522348,15009717.191221042
2024,GenVariableOMCostsInTP,timepoint,242956.00607709278,262983.3944430001
2024,FuelCostsPerTP,timepoint,14245624.36971286,15419921.957056897
2025,GenVariableOMCostsInTP,timepoint,246048.51516405804,271657.4422485
2025,FuelCostsPerTP,timepoint,14055234.20340053,15518114.268454537
2026,GenVariableOMCostsInTP,timepoint,231908.98328030287,261167.1816599999
2026,FuelCostsPerTP,timepoint,13122113.02903997,14777630.554639278
2027,GenVariableOMCostsInTP,timepoint,239885.6036603159,275553.15479999996
2027,FuelCostsPerTP,timepoint,13185326.393591361,15145795.451596135
2028,GenVariableOMCostsInTP,timepoint,245939.02548068567,288156.766359
2028,FuelCostsPerTP,timepoint,13134625.203141892,15389306.835209955
2029,GenVariableOMCostsInTP,timepoint,257987.43128611954,308318.86192799994
2029,FuelCostsPerTP,timepoint,13379952.3603445,15990281.634368228
2030,GenVariableOMCostsInTP,timepoint,262849.5764561241,320412.1669979999
2030,FuelCostsPerTP,timepoint,13277930.396082535,16185723.061903354
