gen_tech,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr
bat_1h,battery,2021,0.0,0.0,0.0
bat_1h,battery,2022,0.0,0.0,0.0
bat_1h,battery,2023,1.6764289500000014,0.0,0.0
bat_1h,battery,2024,1.4781550000000003,0.0,0.0
bat_1h,battery,2025,1.5193930500000015,0.0,0.0
bat_1h,battery,2026,1.7160839500000016,0.0,0.0
bat_1h,battery,2027,1.7303419000000022,0.0,0.0
bat_1h,battery,2028,1.7546084500000017,0.0,0.0
bat_1h,battery,2029,1.854932800000002,0.0,0.0
bat_1h,battery,2030,1.8397977500000018,0.0,0.0
bat_2h,battery,2021,0.0,0.0,0.0
bat_2h,battery,2022,0.0,0.0,0.0
bat_2h,battery,2023,0.0,0.0,0.0
bat_2h,battery,2024,0.0,0.0,0.0
bat_2h,battery,2025,0.0,0.0,0.0
bat_2h,battery,2026,0.0,0.0,0.0
bat_2h,battery,2027,0.0,0.0,0.0
bat_2h,battery,2028,0.0,0.0,0.0
bat_2h,battery,2029,0.0,0.0,0.0
bat_2h,battery,2030,0.0,0.0,0.0
bat_4h,battery,2021,0.0,0.0,0.0
bat_4h,battery,2022,0.0,0.0,0.0
bat_4h,battery,2023,0.0,0.0,0.0
bat_4h,battery,2024,0.0,0.0,0.0
bat_4h,battery,2025,0.0,0.0,0.0
bat_4h,battery,2026,0.0,0.0,0.0
bat_4h,battery,2027,0.0,0.0,0.0
bat_4h,battery,2028,0.0,0.0,0.0
bat_4h,battery,2029,0.0,0.0,0.0
bat_4h,battery,2030,0.0,0.0,0.0
cable,cable,2021,153.24439900000087,0.0,30207.535930879916
cable,cable,2022,145.91271800000084,0.0,28762.314972159933
cable,cable,2023,136.75890879411835,0.0,26957.916101496412
cable,cable,2024,138.7428286176476,0.0,27348.986377110494
cable,cable,2025,137.90616503382435,0.0,27184.06325146727
cable,cable,2026,130.71800160588293,0.0,25767.132476551495
cable,cable,2027,132.0382501529416,0.0,26027.37987014773
cable,cable,2028,132.152474958824,0.0,26049.89586388328
cable,cable,2029,135.12372028235336,0.0,26635.587742057396
cable,cable,2030,134.72936295000054,0.0,26557.852024703945
ccgt,gas,2021,0.0,0.0,0.0
ccgt,gas,2022,0.0,0.0,0.0
ccgt,gas,2023,0.0,0.0,0.0
ccgt,gas,2024,0.0,0.0,0.0
ccgt,gas,2025,0.0,0.0,0.0
ccgt,gas,2026,0.0,0.0,0.0
ccgt,gas,2027,0.0,0.0,0.0
ccgt,gas,2028,0.0,0.0,0.0
ccgt,gas,2029,0.0,0.0,0.0
ccgt,gas,2030,0.0,0.0,0.0
diesel,diesel,2021,0.06938750000000006,0.0,57.098973750000056
diesel,diesel,2022,0.11111450000000006,0.0,91.43612205000005
fueloil,fueloil,2021,18.85093350000001,0.0,16307.94257085001
fueloil,fueloil,2022,18.79594500000001,0.0,16260.37201950001
mila_wind,wind,2021,5.623967999999959,0.0,0.0
mila_wind,wind,2022,5.24165949999997,0.0,0.0
