PERIOD,SystemCostPerPeriod_NPV,SystemCostPerPeriod_Real,EnergyCostReal_per_MWh,SystemDemand_MWh
2021,58711376.44038727,59885603.96919489,121.48068166111138,492964.0099999997
2022,57961867.70910131,60303527.16454888,120.47477302831261,500549.0000000003
2023,41487147.46711695,44026492.789284155,86.61966571645186,508273.63999999955
2024,41734269.36616399,45174515.33603862,87.59669011078243,515710.29999999976
2025,41385858.002028175,45693331.34400032,87.33889112237719,523172.7900000001
2026,40977656.12445964,46147496.35688964,86.90139178743439,531032.8800000001
2027,40617405.42468717,46656631.46843817,86.47520657535958,539537.6699999998
2028,40250227.65309709,47159556.817227915,86.18154689404419,547211.7699999999
2029,39695012.29724046,47439214.20780323,85.38055848125798,555620.7999999986
2030,39835872.3024748,48559706.05234038,86.26956957769133,562883.3700000001
