gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr
bat_1h,Menorca,battery,2021,0.0,0.0,0.0
bat_1h,Menorca,battery,2022,0.0,0.0,0.0
bat_1h,Menorca,battery,2023,0.0,0.0,0.0
bat_1h,Menorca,battery,2024,0.0,0.0,0.0
bat_1h,Menorca,battery,2025,0.0,0.0,0.0
bat_1h,Menorca,battery,2026,2.0168476999999965,0.0,0.0
bat_1h,Menorca,battery,2027,2.0249647249999967,0.0,0.0
bat_1h,Menorca,battery,2028,1.9919145749999976,0.0,0.0
bat_1h,Menorca,battery,2029,2.067242274999998,0.0,0.0
bat_1h,Menorca,battery,2030,1.9982931499999967,0.0,0.0
bat_2h,Menorca,battery,2021,0.0,0.0,0.0
bat_2h,Menorca,battery,2022,0.0,0.0,0.0
bat_2h,Menorca,battery,2023,0.0,0.0,0.0
bat_2h,Menorca,battery,2024,0.0,0.0,0.0
bat_2h,Menorca,battery,2025,0.0,0.0,0.0
bat_2h,Menorca,battery,2026,0.0,0.0,0.0
bat_2h,Menorca,battery,2027,0.0,0.0,0.0
bat_2h,Menorca,battery,2028,0.0,0.0,0.0
bat_2h,Menorca,battery,2029,0.0,0.0,0.0
bat_2h,Menorca,battery,2030,0.0,0.0,0.0
bat_4h,Menorca,battery,2021,0.0,0.0,0.0
bat_4h,Menorca,battery,2022,0.0,0.0,0.0
bat_4h,Menorca,battery,2023,0.0,0.0,0.0
bat_4h,Menorca,battery,2024,0.0,0.0,0.0
bat_4h,Menorca,battery,2025,0.0,0.0,0.0
bat_4h,Menorca,battery,2026,0.0,0.0,0.0
bat_4h,Menorca,battery,2027,0.0,0.0,0.0
bat_4h,Menorca,battery,2028,0.0,0.0,0.0
bat_4h,Menorca,battery,2029,0.0,0.0,0.0
bat_4h,Menorca,battery,2030,0.0,0.0,0.0
cable,Menorca,cable,2021,181.2300910000011,0.0,35724.07553791982
cable,Menorca,cable,2022,179.20351050000133,0.0,35324.59598975978
cable,Menorca,cable,2023,182.42660800000144,0.0,35959.93296895974
cable,Menorca,cable,2024,166.503550500001,0.0,32821.17987455985
cable,Menorca,cable,2025,161.00880250000108,0.0,31738.055148799875
cable,Menorca,cable,2026,147.98569297647137,0.0,29170.939799521795
cable,Menorca,cable,2027,150.76444768823615,0.0,29718.687928304833
cable,Menorca,cable,2028,150.93465741323635,0.0,29752.239669296843
cable,Menorca,cable,2029,145.77176501176547,0.0,28734.530319118978
cable,Menorca,cable,2030,143.80307109411848,0.0,28346.461374072373
diesel,Menorca,diesel,2021,1.181698,0.0,972.4192842
diesel,Menorca,diesel,2022,1.3605409999999998,0.0,1119.5891889
fueloil,Menorca,fueloil,2021,45.40174100000003,0.0,39277.04613910003
fueloil,Menorca,fueloil,2022,46.36905700000004,0.0,40113.87121069995
mila_wind,Menorca,wind,2021,6.020370999999954,0.0,0.0
mila_wind,Menorca,wind,2022,5.716007499999964,0.0,0.0
mila_wind,Menorca,wind,2023,6.036558499999962,0.0,0.0
mila_wind,Menorca,wind,2024,5.7871414999999535,0.0,0.0
mila_wind,Menorca,wind,2025,5.666132499999961,0.0,0.0
mila_wind,Menorca,wind,2026,5.691481764705846,0.0,0.0
mila_wind,Menorca,wind,2027,5.4888002647058425,0.0,0.0
mila_wind,Menorca,wind,2028,5.2953599999999605,0.0,0.0
