LOAD_ZONE,TIMEPOINT,zone_demand_mw
Menorca,1,37.00
Menorca,2,32.97
Menorca,3,30.44
Menorca,4,29.13
Menorca,5,28.77
Menorca,6,29.86
Menorca,7,33.80
Menorca,8,41.49
Menorca,9,47.44
Menorca,10,52.64
Menorca,11,54.69
Menorca,12,53.66
Menorca,13,51.83
Menorca,14,50.71
Menorca,15,48.17
Menorca,16,47.29
Menorca,17,47.71
Menorca,18,51.11
Menorca,19,55.93
Menorca,20,57.04
Menorca,21,57.76
Menorca,22,55.66
Menorca,23,49.96
Menorca,24,43.16
Menorca,25,38.56
Menorca,26,33.90
Menorca,27,31.33
Menorca,28,30.11
Menorca,29,30.20
Menorca,30,31.53
Menorca,31,37.36
Menorca,32,48.97
Menorca,33,56.19
Menorca,34,59.74
Menorca,35,61.39
Menorca,36,60.13
Menorca,37,58.50
Menorca,38,57.10
Menorca,39,54.96
Menorca,40,54.27
Menorca,41,54.81
Menorca,42,57.39
Menorca,43,62.37
Menorca,44,64.46
Menorca,45,65.37
Menorca,46,62.49
Menorca,47,54.54
Menorca,48,46.03
Menorca,49,37.71
Menorca,50,33.33
Menorca,51,30.96
Menorca,52,29.69
Menorca,53,29.49
Menorca,54,30.84
Menorca,55,35.81
Menorca,56,45.27
Menorca,57,51.69
Menorca,58,55.93
Menorca,59,58.27
Menorca,60,56.96
Menorca,61,54.90
Menorca,62,54.34
Menorca,63,52.47
Menorca,64,51.13
Menorca,65,51.07
Menorca,66,52.61
Menorca,67,57.83
Menorca,68,60.41
Menorca,69,61.53
Menorca,70,58.81
Menorca,71,52.06
Menorca,72,44.34
Menorca,73,39.84
Menorca,74,35.00
Menorca,75,32.39
Menorca,76,31.11
Menorca,77,31.14
Menorca,78,32.47
Menorca,79,38.44
Menorca,80,50.13
Menorca,81,57.66
Menorca,82,61.87
Menorca,83,63.79
Menorca,84,62.54
Menorca,85,61.37
Menorca,86,60.23
Menorca,87,57.59
Menorca,88,56.23
Menorca,89,55.76
Menorca,90,57.30
Menorca,91,62.21
Menorca,92,65.53
Menorca,93,67.27
Menorca,94,64.03
Menorca,95,56.71
Menorca,96,47.61
Menorca,97,38.47
Menorca,98,34.11
Menorca,99,31.43
Menorca,100,30.06
Menorca,101,30.10
Menorca,102,31.54
Menorca,103,37.33
Menorca,104,49.11
Menorca,105,55.94
Menorca,106,60.11
Menorca,107,61.74
Menorca,108,61.00
Menorca,109,58.99
Menorca,110,57.76
Menorca,111,55.56
Menorca,112,53.80
Menorca,113,53.51
Menorca,114,54.84
Menorca,115,59.31
Menorca,116,63.21
Menorca,117,64.70
Menorca,118,61.57
Menorca,119,54.43
Menorca,120,45.97
Menorca,121,37.73
Menorca,122,33.33
Menorca,123,30.89
Menorca,124,29.80
Menorca,125,29.76
Menorca,126,31.31
Menorca,127,37.10
Menorca,128,48.46
Menorca,129,55.44
Menorca,130,58.01
Menorca,131,58.61
Menorca,132,56.89
Menorca,133,54.67
Menorca,134,53.21
Menorca,135,50.83
Menorca,136,49.90
Menorca,137,49.74
Menorca,138,51.13
Menorca,139,55.27
Menorca,140,59.99
Menorca,141,62.10
Menorca,142,59.20
Menorca,143,52.23
Menorca,144,44.06
Menorca,145,37.17
Menorca,146,32.97
Menorca,147,30.60
Menorca,148,29.79
Menorca,149,29.57
Menorca,150,31.26
Menorca,151,37.11
Menorca,152,48.01
Menorca,153,54.73
Menorca,154,57.16
Menorca,155,57.26
Menorca,156,55.36
Menorca,157,53.04
Menorca,158,51.27
Menorca,159,49.26
Menorca,160,48.10
Menorca,161,47.86
Menorca,162,48.57
Menorca,163,52.77
Menorca,164,59.31
Menorca,165,62.13
Menorca,166,59.01
Menorca,167,52.01
Menorca,168,44.07
Menorca,169,36.73
Menorca,170,32.80
Menorca,171,30.51
Menorca,172,29.54
Menorca,173,29.50
Menorca,174,31.09
Menorca,175,37.16
Menorca,176,47.49
Menorca,177,54.27
Menorca,178,56.24
Menorca,179,55.91
Menorca,180,54.04
Menorca,181,51.79
Menorca,182,50.81
Menorca,183,48.50
Menorca,184,47.07
Menorca,185,47.14
Menorca,186,48.07
Menorca,187,51.69
Menorca,188,58.90
Menorca,189,61.50
Menorca,190,58.59
Menorca,191,51.23
Menorca,192,43.41
Menorca,193,35.99
Menorca,194,32.06
Menorca,195,30.06
Menorca,196,29.03
Menorca,197,28.90
Menorca,198,30.27
Menorca,199,35.26
Menorca,200,42.63
Menorca,201,48.93
Menorca,202,51.69
Menorca,203,52.16
Menorca,204,50.19
Menorca,205,48.16
Menorca,206,47.26
Menorca,207,44.93
Menorca,208,43.20
Menorca,209,42.71
Menorca,210,43.56
Menorca,211,46.44
Menorca,212,53.80
Menorca,213,56.21
Menorca,214,53.60
Menorca,215,47.69
Menorca,216,41.21
Menorca,217,34.50
Menorca,218,30.93
Menorca,219,29.09
Menorca,220,28.49
Menorca,221,28.33
Menorca,222,29.89
Menorca,223,35.37
Menorca,224,43.51
Menorca,225,50.09
Menorca,226,52.43
Menorca,227,52.93
Menorca,228,51.31
Menorca,229,49.36
Menorca,230,48.16
Menorca,231,45.54
Menorca,232,43.84
Menorca,233,43.30
Menorca,234,43.46
Menorca,235,45.57
Menorca,236,53.16
Menorca,237,55.84
Menorca,238,53.24
Menorca,239,46.50
Menorca,240,39.97
Menorca,241,35.09
Menorca,242,31.44
Menorca,243,29.33
Menorca,244,28.47
Menorca,245,28.47
Menorca,246,29.91
Menorca,247,35.39
Menorca,248,44.37
Menorca,249,51.20
Menorca,250,53.64
Menorca,251,53.79
Menorca,252,52.29
Menorca,253,50.93
Menorca,254,49.16
Menorca,255,46.71
Menorca,256,45.16
Menorca,257,44.53
Menorca,258,44.91
Menorca,259,46.66
Menorca,260,54.21
Menorca,261,57.11
Menorca,262,54.03
Menorca,263,47.44
Menorca,264,40.69
Menorca,265,35.77
Menorca,266,31.83
Menorca,267,30.13
Menorca,268,29.31
Menorca,269,29.21
Menorca,270,30.89
Menorca,271,36.46
Menorca,272,45.40
Menorca,273,52.54
Menorca,274,54.99
Menorca,275,55.86
Menorca,276,54.44
Menorca,277,52.53
Menorca,278,50.90
Menorca,279,48.06
Menorca,280,46.59
Menorca,281,46.34
Menorca,282,46.53
Menorca,283,47.66
Menorca,284,55.24
Menorca,285,58.81
Menorca,286,55.81
Menorca,287,48.91
Menorca,288,41.43
Menorca,289,35.43
Menorca,290,32.00
Menorca,291,30.24
Menorca,292,29.71
Menorca,293,29.87
Menorca,294,32.16
Menorca,295,38.03
Menorca,296,46.61
Menorca,297,52.26
Menorca,298,54.10
Menorca,299,54.01
Menorca,300,53.23
Menorca,301,51.51
Menorca,302,49.71
Menorca,303,47.21
Menorca,304,46.06
Menorca,305,45.83
Menorca,306,46.24
Menorca,307,47.59
Menorca,308,54.66
Menorca,309,57.70
Menorca,310,53.61
Menorca,311,46.93
Menorca,312,40.41
Menorca,313,33.24
Menorca,314,31.41
Menorca,315,30.34
Menorca,316,29.99
Menorca,317,31.37
Menorca,318,36.86
Menorca,319,45.76
Menorca,320,52.60
Menorca,321,55.61
Menorca,322,57.09
Menorca,323,57.00
Menorca,324,55.77
Menorca,325,53.04
Menorca,326,49.36
Menorca,327,46.80
Menorca,328,45.87
Menorca,329,46.50
Menorca,330,46.43
Menorca,331,48.60
Menorca,332,55.23
Menorca,333,56.61
Menorca,334,49.89
Menorca,335,43.11
Menorca,336,37.36
Menorca,337,34.13
Menorca,338,32.04
Menorca,339,31.03
Menorca,340,30.70
Menorca,341,32.21
Menorca,342,37.46
Menorca,343,46.33
Menorca,344,53.79
Menorca,345,57.26
Menorca,346,58.31
Menorca,347,57.41
Menorca,348,56.09
Menorca,349,53.53
Menorca,350,50.29
Menorca,351,47.91
Menorca,352,47.19
Menorca,353,47.34
Menorca,354,47.64
Menorca,355,50.14
