PERIOD,SystemCostPerPeriod_NPV,SystemCostPerPeriod_Real,EnergyCostReal_per_MWh,SystemDemand_MWh
2021,54101709.30405407,55183743.49013503,111.94274302120972,492964.0099999997
2022,53509901.17138236,55671701.178706095,111.22128139044541,500549.0000000003
2023,38473195.29260984,40828062.63007982,80.3269330081329,508273.63999999955
2024,38050733.34981576,41187337.489425026,79.86526057250562,515710.29999999976
2025,37777668.89417455,41709599.015703805,79.7243278185469,523172.7900000001
2026,37546636.30923787,42283610.781236775,79.62522166468631,531032.8800000001
2027,37280353.93231142,42823408.24693852,79.37056229445209,539537.6699999998
2028,37011163.62104042,43364477.0584017,79.24624329334456,547211.7699999999
2029,36493388.217704736,43612977.06282784,78.49414036124628,555620.7999999986
2030,36721297.90088254,44763057.23614092,79.5245687150802,562883.3700000001
