gen_tech,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr
bat_1h,battery,2021,0.0,0.0,0.0
bat_1h,battery,2022,0.0,0.0,0.0
bat_1h,battery,2023,0.0,0.0,0.0
bat_1h,battery,2024,0.0,0.0,0.0
bat_1h,battery,2025,0.0,0.0,0.0
bat_1h,battery,2026,2.4020139499999966,0.0,0.0
bat_1h,battery,2027,2.449025249999998,0.0,0.0
bat_1h,battery,2028,2.4804793999999966,0.0,0.0
bat_1h,battery,2029,2.818259149999996,0.0,0.0
bat_1h,battery,2030,2.896430599999996,0.0,0.0
bat_2h,battery,2021,0.0,0.0,0.0
bat_2h,battery,2022,0.0,0.0,0.0
bat_2h,battery,2023,0.0,0.0,0.0
bat_2h,battery,2024,0.0,0.0,0.0
bat_2h,battery,2025,0.0,0.0,0.0
bat_2h,battery,2026,0.0,0.0,0.0
bat_2h,battery,2027,0.0,0.0,0.0
bat_2h,battery,2028,0.0,0.0,0.0
bat_2h,battery,2029,0.0,0.0,0.0
bat_2h,battery,2030,0.0,0.0,0.0
bat_4h,battery,2021,0.0,0.0,0.0
bat_4h,battery,2022,0.0,0.0,0.0
bat_4h,battery,2023,0.0,0.0,0.0
bat_4h,battery,2024,0.0,0.0,0.0
bat_4h,battery,2025,0.0,0.0,0.0
bat_4h,battery,2026,0.0,0.0,0.0
bat_4h,battery,2027,0.0,0.0,0.0
bat_4h,battery,2028,0.0,0.0,0.0
bat_4h,battery,2029,0.0,0.0,0.0
bat_4h,battery,2030,0.0,0.0,0.0
cable,cable,2021,181.2300910000011,0.0,35724.075537919816
cable,cable,2022,174.23789600000117,0.0,34345.77405951981
cable,cable,2023,177.5809070000015,0.0,35004.7483878398
cable,cable,2024,166.503550500001,0.0,32821.17987455985
cable,cable,2025,161.00880250000108,0.0,31738.055148799875
cable,cable,2026,147.98569297647134,0.0,29170.939799521784
cable,cable,2027,150.7644476882362,0.0,29718.68792830484
cable,cable,2028,143.0547354970596,0.0,28198.94946118017
cable,cable,2029,137.38828532058884,0.0,27081.978802394315
cable,cable,2030,138.05100974411832,0.0,27212.61504076041
diesel,diesel,2021,1.1816980000000004,0.0,972.4192842000007
diesel,diesel,2022,1.2440680000000004,0.0,1023.7435572000002
fueloil,fueloil,2021,45.40174100000004,0.0,39277.046139100035
fueloil,fueloil,2022,44.59873600000003,0.0,38582.36651359999
mila_wind,wind,2021,6.105469999999953,0.0,0.0
mila_wind,wind,2022,5.973050999999961,0.0,0.0
mila_wind,wind,2023,5.952897999999965,0.0,0.0
mila_wind,wind,2024,5.484422999999957,0.0,0.0
mila_wind,wind,2025,5.433441999999963,0.0,0.0
mila_wind,wind,2026,5.004397382352909,0.0,0.0
mila_wind,wind,2027,5.1138184999999625,0.0,0.0
mila_wind,wind,2028,4.968991999999961,0.0,0.0
nat_gas,gas,2021,0.0,0.0,0.0
nat_gas,gas,2022,0.0,0.0,0.0
nat_gas,gas,2023,48.63591600000002,353096.7501600002,25538.719491599983
nat_gas,gas,2024,46.17628050000007,335239.79642999993,24247.164890549993
nat_gas,gas,2025,45.55855150000006,330755.08389,23922.79539265
nat_gas,gas,2026,41.03686649999996,297927.65078999975,21548.458599150003
nat_gas,gas,2027,43.61684617500004,316658.30323050014,22903.2059264925
nat_gas,gas,2028,42.71805264999998,310133.062239,22431.249446515012
nat_gas,gas,2029,42.745225249999976,310330.3353149999,22445.51777877502
nat_gas,gas,2030,44.60629389999997,323841.69371399994,23422.76492688999
salomo_pv,sun,2021,7.688471,0.0,0.0
salomo_pv,sun,2022,7.760165000000008,0.0,0.0
salomo_pv,sun,2023,7.639415000000009,0.0,0.0
salomo_pv,sun,2024,6.864143999999998,0.0,0.0
salomo_pv,sun,2025,6.860833000000003,0.0,0.0
salomo_pv,sun,2026,6.495411382352946,0.0,0.0
salomo_pv,sun,2027,6.575973147058823,0.0,0.0
salomo_pv,sun,2028,6.340071232352941,0.0,0.0
salomo_pv,sun,2029,6.267333882352943,0.0,0.0
salomo_pv,sun,2030,6.371853764705877,0.0,0.0
utility_pv,sun,2021,136.2320750000002,0.0,0.0
utility_pv,sun,2022,135.44544300000027,0.0,0.0
utility_pv,sun,2023,133.55857200000003,0.0,0.0
utility_pv,sun,2024,132.9902140000001,0.0,0.0
utility_pv,sun,2025,133.20146000000014,0.0,0.0
utility_pv,sun,2026,128.86417455882366,0.0,0.0
utility_pv,sun,2027,124.92393703382366,0.0,0.0
utility_pv,sun,2028,132.09019497058824,0.0,0.0
utility_pv,sun,2029,129.78801378529425,0.0,0.0
utility_pv,sun,2030,137.17462697647068,0.0,0.0
wind,wind,2021,115.12446400000006,0.0,0.0
wind,wind,2022,131.28964100000007,0.0,0.0
wind,wind,2023,134.9059319999998,0.0,0.0
wind,wind,2024,157.691688,0.0,0.0
wind,wind,2025,171.10970100000017,0.0,0.0
wind,wind,2026,202.07022201470625,0.0,0.0
wind,wind,2027,208.97482838235342,0.0,0.0
wind,wind,2028,218.47745530882344,0.0,0.0
wind,wind,2029,239.92928161176445,0.0,0.0
wind,wind,2030,237.1907204264711,0.0,0.0
