STORAGE_GEN_BLD_YRS_1,STORAGE_GEN_BLD_YRS_2,BuildStorageEnergy
Battery_Utility_1h,2021,0.0
Battery_Utility_1h,2022,0.0
Battery_Utility_1h,2023,0.0
Battery_Utility_1h,2024,0.0
Battery_Utility_1h,2025,1.0
Battery_Utility_1h,2026,2.0
Battery_Utility_1h,2027,0.0
Battery_Utility_1h,2028,0.0
Battery_Utility_1h,2029,0.0
Battery_Utility_1h,2030,0.0
Battery_Utility_2h,2021,0.0
Battery_Utility_2h,2022,0.0
Battery_Utility_2h,2023,0.0
Battery_Utility_2h,2024,0.0
Battery_Utility_2h,2025,0.0
Battery_Utility_2h,2026,0.0
Battery_Utility_2h,2027,0.0
Battery_Utility_2h,2028,0.0
Battery_Utility_2h,2029,0.0
Battery_Utility_2h,2030,0.0
Battery_Utility_4h,2021,0.0
Battery_Utility_4h,2022,0.0
Battery_Utility_4h,2023,0.0
Battery_Utility_4h,2024,0.0
Battery_Utility_4h,2025,0.0
Battery_Utility_4h,2026,0.0
Battery_Utility_4h,2027,0.0
Battery_Utility_4h,2028,0.0
Battery_Utility_4h,2029,0.0
Battery_Utility_4h,2030,0.0
