gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr
bat_1h,Menorca,battery,2021,0.0,0.0,0.0
bat_1h,Menorca,battery,2022,0.0,0.0,0.0
bat_1h,Menorca,battery,2023,0.0,0.0,0.0
bat_1h,Menorca,battery,2024,0.0,0.0,0.0
bat_1h,Menorca,battery,2025,0.6797771750000005,0.0,0.0
bat_1h,Menorca,battery,2026,2.321555424999996,0.0,0.0
bat_1h,Menorca,battery,2027,2.0650096249999974,0.0,0.0
bat_1h,Menorca,battery,2028,1.9943913499999977,0.0,0.0
bat_1h,Menorca,battery,2029,2.0586838999999975,0.0,0.0
bat_1h,Menorca,battery,2030,11.310512500000007,0.0,0.0
bat_2h,Menorca,battery,2021,0.0,0.0,0.0
bat_2h,Menorca,battery,2022,0.0,0.0,0.0
bat_2h,Menorca,battery,2023,0.0,0.0,0.0
bat_2h,Menorca,battery,2024,0.0,0.0,0.0
bat_2h,Menorca,battery,2025,0.0,0.0,0.0
bat_2h,Menorca,battery,2026,0.0,0.0,0.0
bat_2h,Menorca,battery,2027,0.0,0.0,0.0
bat_2h,Menorca,battery,2028,0.0,0.0,0.0
bat_2h,Menorca,battery,2029,0.0,0.0,0.0
bat_2h,Menorca,battery,2030,0.0,0.0,0.0
bat_4h,Menorca,battery,2021,0.0,0.0,0.0
bat_4h,Menorca,battery,2022,0.0,0.0,0.0
bat_4h,Menorca,battery,2023,0.0,0.0,0.0
bat_4h,Menorca,battery,2024,0.0,0.0,0.0
bat_4h,Menorca,battery,2025,0.0,0.0,0.0
bat_4h,Menorca,battery,2026,0.0,0.0,0.0
bat_4h,Menorca,battery,2027,0.0,0.0,0.0
bat_4h,Menorca,battery,2028,0.0,0.0,0.0
bat_4h,Menorca,battery,2029,0.0,0.0,0.0
bat_4h,Menorca,battery,2030,0.0,0.0,0.0
cable,Menorca,cable,2021,181.2300910000011,0.0,35724.07553791982
cable,Menorca,cable,2022,179.20351050000133,0.0,35324.59598975978
cable,Menorca,cable,2023,182.42660800000144,0.0,35959.93296895974
cable,Menorca,cable,2024,166.503550500001,0.0,32821.17987455985
cable,Menorca,cable,2025,170.1376997352952,0.0,33537.54337182104
cable,Menorca,cable,2026,147.98569297647143,0.0,29170.93979952179
cable,Menorca,cable,2027,150.76444768823617,0.0,29718.687928304833
cable,Menorca,cable,2028,152.35014408970682,0.0,30031.2604029627
cable,Menorca,cable,2029,151.13962485588334,0.0,29792.642851591412
cable,Menorca,cable,2030,104.96977729411782,0.0,20691.642500216494
diesel,Menorca,diesel,2021,1.181698,0.0,972.4192842
diesel,Menorca,diesel,2022,1.3605409999999993,0.0,1119.5891889
fueloil,Menorca,fueloil,2021,45.40174100000003,0.0,39277.04613910003
fueloil,Menorca,fueloil,2022,46.36905700000004,0.0,40113.87121069995
mila_wind,Menorca,wind,2021,5.9986779999999555,0.0,0.0
mila_wind,Menorca,wind,2022,5.845339499999963,0.0,0.0
mila_wind,Menorca,wind,2023,6.158935999999959,0.0,0.0
mila_wind,Menorca,wind,2024,5.7297764999999545,0.0,0.0
mila_wind,Menorca,wind,2025,5.8247522941176095,0.0,0.0
mila_wind,Menorca,wind,2026,5.205311999999964,0.0,0.0
mila_wind,Menorca,wind,2027,5.332456499999965,0.0,0.0
mila_wind,Menorca,wind,2028,5.273852499999964,0.0,0.0
