STORAGE_GEN_TPS_1,STORAGE_GEN_TPS_2,ChargeStorage
Battery_Utility_4h,1,0.0
Battery_Utility_4h,2,0.0
Battery_Utility_4h,3,0.0
Battery_Utility_4h,4,0.0
Battery_Utility_4h,5,0.0
Battery_Utility_4h,6,0.0
Battery_Utility_4h,7,0.0
Battery_Utility_4h,8,0.0
Battery_Utility_4h,9,0.0
Battery_Utility_4h,10,0.0
Battery_Utility_4h,11,0.0
Battery_Utility_4h,12,0.0
Battery_Utility_4h,13,0.0
Battery_Utility_4h,14,0.0
Battery_Utility_4h,15,0.0
Battery_Utility_4h,16,0.0
Battery_Utility_4h,17,0.0
Battery_Utility_4h,18,0.0
Battery_Utility_4h,19,0.0
Battery_Utility_4h,20,0.0
Battery_Utility_4h,21,0.0
Battery_Utility_4h,22,0.0
Battery_Utility_4h,23,0.0
Battery_Utility_4h,24,0.0
Battery_Utility_4h,25,0.0
Battery_Utility_4h,26,0.0
Battery_Utility_4h,27,0.0
Battery_Utility_4h,28,0.0
Battery_Utility_4h,29,0.0
Battery_Utility_4h,30,0.0
Battery_Utility_4h,31,0.0
Battery_Utility_4h,32,0.0
Battery_Utility_4h,33,0.0
Battery_Utility_4h,34,0.0
Battery_Utility_4h,35,0.0
Battery_Utility_4h,36,0.0
Battery_Utility_4h,37,0.0
Battery_Utility_4h,38,0.0
Battery_Utility_4h,39,0.0
Battery_Utility_4h,40,0.0
Battery_Utility_4h,41,0.0
Battery_Utility_4h,42,0.0
Battery_Utility_4h,43,0.0
Battery_Utility_4h,44,0.0
Battery_Utility_4h,45,0.0
Battery_Utility_4h,46,0.0
Battery_Utility_4h,47,0.0
Battery_Utility_4h,48,0.0
Battery_Utility_4h,49,0.0
Battery_Utility_4h,50,0.0
Battery_Utility_4h,51,0.0
Battery_Utility_4h,52,0.0
Battery_Utility_4h,53,0.0
Battery_Utility_4h,54,0.0
Battery_Utility_4h,55,0.0
Battery_Utility_4h,56,0.0
Battery_Utility_4h,57,0.0
Battery_Utility_4h,58,0.0
Battery_Utility_4h,59,0.0
Battery_Utility_4h,60,0.0
Battery_Utility_4h,61,0.0
Battery_Utility_4h,62,0.0
Battery_Utility_4h,63,0.0
Battery_Utility_4h,64,0.0
Battery_Utility_4h,65,0.0
Battery_Utility_4h,66,0.0
Battery_Utility_4h,67,0.0
Battery_Utility_4h,68,0.0
Battery_Utility_4h,69,0.0
Battery_Utility_4h,70,0.0
Battery_Utility_4h,71,0.0
Battery_Utility_4h,72,0.0
Battery_Utility_4h,73,0.0
Battery_Utility_4h,74,0.0
Battery_Utility_4h,75,0.0
Battery_Utility_4h,76,0.0
Battery_Utility_4h,77,0.0
Battery_Utility_4h,78,0.0
Battery_Utility_4h,79,0.0
Battery_Utility_4h,80,0.0
Battery_Utility_4h,81,0.0
Battery_Utility_4h,82,0.0
Battery_Utility_4h,83,0.0
Battery_Utility_4h,84,0.0
Battery_Utility_4h,85,0.0
Battery_Utility_4h,86,0.0
Battery_Utility_4h,87,0.0
Battery_Utility_4h,88,0.0
Battery_Utility_4h,89,0.0
Battery_Utility_4h,90,0.0
Battery_Utility_4h,91,0.0
Battery_Utility_4h,92,0.0
Battery_Utility_4h,93,0.0
Battery_Utility_4h,94,0.0
Battery_Utility_4h,95,0.0
Battery_Utility_4h,96,0.0
Battery_Utility_4h,97,0.0
Battery_Utility_4h,98,0.0
Battery_Utility_4h,99,0.0
Battery_Utility_4h,100,0.0
Battery_Utility_4h,101,0.0
Battery_Utility_4h,102,0.0
Battery_Utility_4h,103,0.0
Battery_Utility_4h,104,0.0
Battery_Utility_4h,105,0.0
Battery_Utility_4h,106,0.0
Battery_Utility_4h,107,0.0
Battery_Utility_4h,108,0.0
Battery_Utility_4h,109,0.0
Battery_Utility_4h,110,0.0
Battery_Utility_4h,111,0.0
Battery_Utility_4h,112,0.0
Battery_Utility_4h,113,0.0
Battery_Utility_4h,114,0.0
Battery_Utility_4h,115,0.0
Battery_Utility_4h,116,0.0
Battery_Utility_4h,117,0.0
Battery_Utility_4h,118,0.0
Battery_Utility_4h,119,0.0
Battery_Utility_4h,120,0.0
Battery_Utility_4h,121,0.0
Battery_Utility_4h,122,0.0
Battery_Utility_4h,123,0.0
Battery_Utility_4h,124,0.0
Battery_Utility_4h,125,0.0
Battery_Utility_4h,126,0.0
Battery_Utility_4h,127,0.0
Battery_Utility_4h,128,0.0
Battery_Utility_4h,129,0.0
Battery_Utility_4h,130,0.0
Battery_Utility_4h,131,0.0
Battery_Utility_4h,132,0.0
Battery_Utility_4h,133,0.0
Battery_Utility_4h,134,0.0
Battery_Utility_4h,135,0.0
Battery_Utility_4h,136,0.0
Battery_Utility_4h,137,0.0
Battery_Utility_4h,138,0.0
Battery_Utility_4h,139,0.0
Battery_Utility_4h,140,0.0
Battery_Utility_4h,141,0.0
Battery_Utility_4h,142,0.0
Battery_Utility_4h,143,0.0
Battery_Utility_4h,144,0.0
Battery_Utility_4h,145,0.0
Battery_Utility_4h,146,0.0
Battery_Utility_4h,147,0.0
Battery_Utility_4h,148,0.0
Battery_Utility_4h,149,0.0
Battery_Utility_4h,150,0.0
Battery_Utility_4h,151,0.0
Battery_Utility_4h,152,0.0
Battery_Utility_4h,153,0.0
Battery_Utility_4h,154,0.0
Battery_Utility_4h,155,0.0
Battery_Utility_4h,156,0.0
Battery_Utility_4h,157,0.0
Battery_Utility_4h,158,0.0
Battery_Utility_4h,159,0.0
Battery_Utility_4h,160,0.0
Battery_Utility_4h,161,0.0
Battery_Utility_4h,162,0.0
Battery_Utility_4h,163,0.0
Battery_Utility_4h,164,0.0
Battery_Utility_4h,165,0.0
Battery_Utility_4h,166,0.0
Battery_Utility_4h,167,0.0
Battery_Utility_4h,168,0.0
Battery_Utility_4h,169,0.0
Battery_Utility_4h,170,0.0
Battery_Utility_4h,171,0.0
Battery_Utility_4h,172,0.0
Battery_Utility_4h,173,0.0
Battery_Utility_4h,174,0.0
Battery_Utility_4h,175,0.0
Battery_Utility_4h,176,0.0
Battery_Utility_4h,177,0.0
Battery_Utility_4h,178,0.0
Battery_Utility_4h,179,0.0
Battery_Utility_4h,180,0.0
Battery_Utility_4h,181,0.0
Battery_Utility_4h,182,0.0
Battery_Utility_4h,183,0.0
Battery_Utility_4h,184,0.0
Battery_Utility_4h,185,0.0
Battery_Utility_4h,186,0.0
Battery_Utility_4h,187,0.0
Battery_Utility_4h,188,0.0
