GENERATION_PROJECT,build_year,gen_overnight_cost,gen_fixed_om,gen_storage_energy_overnight_cost
Diesel_GE,2003,590909,22727,.
Diesel_P&W,2003,590909,22727,.
Fueloil_MB&W,2003,590909,22727,.
Wind_Mila,2004,2000000,40000,.
PV_SonSalomo,2008,5000000,100000,.
Seacable,2020,2400000,60000,.
Seacable,2021,2400000,60000,.
NG_GT,2021,711776,13778,.
Utility_PV,2021,832045,14688,.
Wind_OnShore,2021,1435471,30196,.
Battery_Utility_4h,2021,1237226,30931,310135
Seacable,2022,2400000,60000,.
NG_GT,2022,706390,13673,.
Utility_PV,2022,811155,14319,.
Wind_OnShore,2022,1399808,29446,.
Battery_Utility_4h,2022,1180850,29521,296003
Seacable,2023,2400000,60000,.
NG_GT,2023,701045,13570,.
Utility_PV,2023,790789,13960,.
Wind_OnShore,2023,1365031,28715,.
Battery_Utility_4h,2023,1127043,28176,282515
Seacable,2024,2400000,60000,.
NG_GT,2024,695740,13467,.
Utility_PV,2024,770934,13609,.
Wind_OnShore,2024,1331118,28001,.
Battery_Utility_4h,2024,1075687,26892,269642
Seacable,2025,2400000,60000,.
NG_GT,2025,690476,13365,.
Utility_PV,2025,751577,13268,.
Wind_OnShore,2025,1298048,27306,.
Battery_Utility_4h,2025,1026672,25667,257355
Seacable,2026,2400000,60000,.
NG_GT,2026,685251,13264,.
Utility_PV,2026,732707,12935,.
Wind_OnShore,2026,1265799,26627,.
Battery_Utility_4h,2026,979890,24497,245628
Seacable,2027,2400000,60000,.
NG_GT,2027,680066,13164,.
Utility_PV,2027,714311,12610,.
Wind_OnShore,2027,1234352,25966,.
Battery_Utility_4h,2027,935240,23381,234436
Seacable,2028,2400000,60000,.
NG_GT,2028,674920,13064,.
Utility_PV,2028,696376,12293,.
Wind_OnShore,2028,1203685,25321,.
Battery_Utility_4h,2028,892624,22316,223754
Seacable,2029,2400000,60000,.
NG_GT,2029,669813,12965,.
Utility_PV,2029,678892,11985,.
Wind_OnShore,2029,1173781,24691,.
Battery_Utility_4h,2029,851950,21299,213558
Seacable,2030,2400000,60000,.
NG_GT,2030,664744,12867,.
Utility_PV,2030,661846,11684,.
Wind_OnShore,2030,1144619,24078,.
Battery_Utility_4h,2030,813130,20328,203827
