PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2021,TotalGenFixedCosts,annual,38522839.204694405,39293295.98878821
2021,StorageEnergyInstallCosts,annual,1603341.1960313953,1635408.01995202
2022,TotalGenFixedCosts,annual,37905652.5084481,39437040.869789325
2022,StorageEnergyInstallCosts,annual,1571903.133364113,1635408.01995202
2023,TotalGenFixedCosts,annual,23113624.017554417,24528362.71642084
2023,StorageEnergyInstallCosts,annual,1541081.50329815,1635408.01995202
2024,TotalGenFixedCosts,annual,24221501.882005382,26218132.600583095
2024,StorageEnergyInstallCosts,annual,1510864.2189197552,1635408.01995202
2025,TotalGenFixedCosts,annual,24492801.450512867,27042031.898100313
2025,StorageEnergyInstallCosts,annual,1481239.4303134854,1635408.01995202
2026,TotalGenFixedCosts,annual,24665472.97999629,27777328.72344339
2026,StorageEnergyInstallCosts,annual,1452195.5199151817,1635408.01995202
2027,TotalGenFixedCosts,annual,24633064.13835978,28295647.726019286
2027,StorageEnergyInstallCosts,annual,1423721.0979560604,1635408.01995202
2028,TotalGenFixedCosts,annual,24581423.602597892,28801055.562374268
2028,StorageEnergyInstallCosts,annual,1395804.9979961377,1635408.01995202
2029,TotalGenFixedCosts,annual,24437097.999219466,29204594.21756227
2029,StorageEnergyInstallCosts,annual,1368436.272545233,1635408.01995202
2030,TotalGenFixedCosts,annual,55428141.99729748,67566595.80538255
2030,StorageEnergyInstallCosts,annual,1341604.1887698362,1635408.01995202
2021,GenVariableOMCostsInTP,timepoint,0.0,0.0
2021,FuelCostsPerTP,timepoint,15430146.032795785,15738748.953451667
2022,GenVariableOMCostsInTP,timepoint,0.0,0.0
2022,FuelCostsPerTP,timepoint,15516729.338670535,16143605.203952793
2023,GenVariableOMCostsInTP,timepoint,346260.5994300841,367454.5182
2023,FuelCostsPerTP,timepoint,14744981.340231923,15647492.158104807
2024,GenVariableOMCostsInTP,timepoint,309709.7525539158,335239.7964299999
2024,FuelCostsPerTP,timepoint,13192410.962475305,14279889.893719792
2025,GenVariableOMCostsInTP,timepoint,299575.06998705206,330755.08388999995
2025,FuelCostsPerTP,timepoint,12583315.482180668,13892997.064484997
2026,GenVariableOMCostsInTP,timepoint,272551.73812237394,306937.5247785002
2026,FuelCostsPerTP,timepoint,12102339.839889133,13629200.31284461
2027,GenVariableOMCostsInTP,timepoint,271725.0605196025,312126.68256
2027,FuelCostsPerTP,timepoint,11775101.819373574,13525890.695025358
2028,GenVariableOMCostsInTP,timepoint,270992.5513764881,317510.9650020001
2028,FuelCostsPerTP,timepoint,11460444.6224065,13427737.452299515
2029,GenVariableOMCostsInTP,timepoint,269352.8500182082,321901.5893939999
2029,FuelCostsPerTP,timepoint,11015874.814829934,13164990.128076904
2030,GenVariableOMCostsInTP,timepoint,27683.212769066544,33745.68189301966
2030,FuelCostsPerTP,timepoint,1599639.8009334865,1949951.9913394405
