PERIOD,SystemCostPerPeriod_NPV,SystemCostPerPeriod_Real,EnergyCostReal_per_MWh,SystemDemand_MWh
2021,55556326.4335215,56667452.96219181,114.95251542235678,492964.0099999997
2022,54994284.98048269,57216054.093694076,114.30659954109197,500549.0000000003
2023,39745947.46051466,42178717.41267775,82.98427085984193,508273.63999999955
2024,39234486.81595447,42468670.31068502,82.3498586525905,515710.29999999976
2025,38856931.43299409,42901192.06642735,82.00195592440376,523172.7900000001
2026,38492560.07792293,43348874.58101846,81.63124396556849,531032.8800000001
2027,38103612.11620899,43769073.123556636,81.12329417806295,539537.6699999998
2028,37708665.77437689,44181711.99962766,80.73969607712873,547211.7699999999
2029,37090761.936612874,44326893.95498523,79.77903986853146,555620.7999999986
2030,58397069.1997699,71185701.49856706,126.4661656260462,562883.3700000001
