TIMESERIES,ts_period,ts_duration_of_tp,ts_num_tps,ts_scale_to_period
20210101,2021,1,24,1
20210102,2021,1,24,1
20210103,2021,1,24,1
20210104,2021,1,24,1
20210105,2021,1,24,1
20210106,2021,1,24,1
20210107,2021,1,24,1
20210108,2021,1,24,1
20210109,2021,1,24,1
20210110,2021,1,24,1
20210111,2021,1,24,1
20210112,2021,1,24,1
20210113,2021,1,24,1
20210114,2021,1,24,1
20210115,2021,1,24,1
20210116,2021,1,24,1
20210117,2021,1,24,1
20210118,2021,1,24,1
20210119,2021,1,24,1
20210120,2021,1,24,1
20210121,2021,1,24,1
20210122,2021,1,24,1
20210123,2021,1,24,1
20210124,2021,1,24,1
20210125,2021,1,24,1
20210126,2021,1,24,1
20210127,2021,1,24,1
20210128,2021,1,24,1
20210129,2021,1,24,1
20210130,2021,1,24,1
20210131,2021,1,24,1
20210201,2021,1,24,1
20210202,2021,1,24,1
20210203,2021,1,24,1
20210204,2021,1,24,1
20210205,2021,1,24,1
20210206,2021,1,24,1
20210207,2021,1,24,1
20210208,2021,1,24,1
20210209,2021,1,24,1
20210210,2021,1,24,1
20210211,2021,1,24,1
20210212,2021,1,24,1
20210213,2021,1,24,1
20210214,2021,1,24,1
20210215,2021,1,24,1
20210216,2021,1,24,1
20210217,2021,1,24,1
20210218,2021,1,24,1
20210219,2021,1,24,1
20210220,2021,1,24,1
20210221,2021,1,24,1
20210222,2021,1,24,1
20210223,2021,1,24,1
20210224,2021,1,24,1
20210225,2021,1,24,1
20210226,2021,1,24,1
20210227,2021,1,24,1
20210228,2021,1,24,1
20210301,2021,1,24,1
20210302,2021,1,24,1
20210303,2021,1,24,1
20210304,2021,1,24,1
20210305,2021,1,24,1
20210306,2021,1,24,1
20210307,2021,1,24,1
20210308,2021,1,24,1
20210309,2021,1,24,1
20210310,2021,1,24,1
20210311,2021,1,24,1
20210312,2021,1,24,1
20210313,2021,1,24,1
20210314,2021,1,24,1
20210315,2021,1,24,1
20210316,2021,1,24,1
20210317,2021,1,24,1
20210318,2021,1,24,1
20210319,2021,1,24,1
20210320,2021,1,24,1
20210321,2021,1,24,1
20210322,2021,1,24,1
20210323,2021,1,24,1
20210324,2021,1,24,1
20210325,2021,1,24,1
20210326,2021,1,24,1
20210327,2021,1,24,1
20210328,2021,1,24,1
20210329,2021,1,24,1
20210330,2021,1,24,1
20210331,2021,1,24,1
20210401,2021,1,24,1
20210402,2021,1,24,1
20210403,2021,1,24,1
20210404,2021,1,24,1
20210405,2021,1,24,1
20210406,2021,1,24,1
20210407,2021,1,24,1
20210408,2021,1,24,1
20210409,2021,1,24,1
20210410,2021,1,24,1
20210411,2021,1,24,1
20210412,2021,1,24,1
20210413,2021,1,24,1
20210414,2021,1,24,1
20210415,2021,1,24,1
20210416,2021,1,24,1
20210417,2021,1,24,1
20210418,2021,1,24,1
20210419,2021,1,24,1
20210420,2021,1,24,1
20210421,2021,1,24,1
20210422,2021,1,24,1
20210423,2021,1,24,1
20210424,2021,1,24,1
20210425,2021,1,24,1
20210426,2021,1,24,1
20210427,2021,1,24,1
20210428,2021,1,24,1
