GENERATION_PROJECT,timepoint,gen_max_capacity_factor
Residential_PV,1,0
Residential_PV,2,0
Residential_PV,3,0
Residential_PV,4,0
Residential_PV,5,0
Residential_PV,6,0
Residential_PV,7,0
Residential_PV,8,0
Residential_PV,9,0.0736
Residential_PV,10,0.1552
Residential_PV,11,0.2232
Residential_PV,12,0.2768
Residential_PV,13,0.3296
Residential_PV,14,0.324
Residential_PV,15,0.2256
Residential_PV,16,0.0672
Residential_PV,17,0
Residential_PV,18,0
Residential_PV,19,0
Residential_PV,20,0
Residential_PV,21,0
Residential_PV,22,0
Residential_PV,23,0
Residential_PV,24,0
Residential_PV,25,0
Residential_PV,26,0
Residential_PV,27,0
Residential_PV,28,0
Residential_PV,29,0
Residential_PV,30,0
Residential_PV,31,0
Residential_PV,32,0
Residential_PV,33,0.0768
Residential_PV,34,0.1264
Residential_PV,35,0.1456
Residential_PV,36,0.228
Residential_PV,37,0.284
Residential_PV,38,0.1352
Residential_PV,39,0.1136
Residential_PV,40,0.0472
Residential_PV,41,0
Residential_PV,42,0
Residential_PV,43,0
Residential_PV,44,0
Residential_PV,45,0
Residential_PV,46,0
Residential_PV,47,0
Residential_PV,48,0
Residential_PV,49,0
Residential_PV,50,0
Residential_PV,51,0
Residential_PV,52,0
Residential_PV,53,0
Residential_PV,54,0
Residential_PV,55,0
Residential_PV,56,0
Residential_PV,57,0.064
Residential_PV,58,0.1024
Residential_PV,59,0.3016
Residential_PV,60,0.3584
Residential_PV,61,0.3648
Residential_PV,62,0.172
Residential_PV,63,0.2368
Residential_PV,64,0.1056
Residential_PV,65,0.0088
Residential_PV,66,0
Residential_PV,67,0
Residential_PV,68,0
Residential_PV,69,0
Residential_PV,70,0
Residential_PV,71,0
Residential_PV,72,0
Residential_PV,73,0
Residential_PV,74,0
Residential_PV,75,0
Residential_PV,76,0
Residential_PV,77,0
Residential_PV,78,0
Residential_PV,79,0
Residential_PV,80,0
Residential_PV,81,0.0968
Residential_PV,82,0.0664
Residential_PV,83,0.228
Residential_PV,84,0.3176
Residential_PV,85,0.3312
Residential_PV,86,0.3216
Residential_PV,87,0.24
Residential_PV,88,0.1344
Residential_PV,89,0.0104
Residential_PV,90,0
Residential_PV,91,0
Residential_PV,92,0
Residential_PV,93,0
Residential_PV,94,0
Residential_PV,95,0
Residential_PV,96,0
Residential_PV,97,0
Residential_PV,98,0
Residential_PV,99,0
Residential_PV,100,0
Residential_PV,101,0
Residential_PV,102,0
Residential_PV,103,0
Residential_PV,104,0
Residential_PV,105,0.1016
Residential_PV,106,0.2016
Residential_PV,107,0.2288
Residential_PV,108,0.3064
Residential_PV,109,0.2024
Residential_PV,110,0.272
Residential_PV,111,0.1552
Residential_PV,112,0.1424
Residential_PV,113,0.0112
Residential_PV,114,0
Residential_PV,115,0
Residential_PV,116,0
Residential_PV,117,0
Residential_PV,118,0
Residential_PV,119,0
Residential_PV,120,0
Residential_PV,121,0
Residential_PV,122,0
Residential_PV,123,0
Residential_PV,124,0
Residential_PV,125,0
Residential_PV,126,0
Residential_PV,127,0
Residential_PV,128,0
Residential_PV,129,0.0456
Residential_PV,130,0.1064
Residential_PV,131,0.1624
Residential_PV,132,0.2336
Residential_PV,133,0.2832
Residential_PV,134,0.268
Residential_PV,135,0.2488
Residential_PV,136,0.1016
Residential_PV,137,0.012
Residential_PV,138,0
Residential_PV,139,0
Residential_PV,140,0
Residential_PV,141,0
Residential_PV,142,0
Residential_PV,143,0
Residential_PV,144,0
Residential_PV,145,0
Residential_PV,146,0
Residential_PV,147,0
Residential_PV,148,0
Residential_PV,149,0
Residential_PV,150,0
Residential_PV,151,0
Residential_PV,152,0
Residential_PV,153,0.0976
Residential_PV,154,0.2104
Residential_PV,155,0.3016
Residential_PV,156,0.3664
Residential_PV,157,0.3752
Residential_PV,158,0.3352
Residential_PV,159,0.2536
Residential_PV,160,0.1472
Residential_PV,161,0.012
Residential_PV,162,0
Residential_PV,163,0
Residential_PV,164,0
